DRG,CM-PCS,en
DRG00048,A1850,"Tuberculosis of eye, unspecified"
DRG00048,A1851,Tuberculous episcleritis
DRG00048,A1852,Tuberculous keratitis
DRG00048,A1853,Tuberculous chorioretinitis
DRG00048,A1854,Tuberculous iridocyclitis
DRG00048,A1859,Other tuberculosis of eye
DRG00048,A3686,Diphtheritic conjunctivitis
DRG00048,A5031,Late congenital syphilitic interstitial keratitis
DRG00048,A5143,Secondary syphilitic oculopathy
DRG00048,A5271,Late syphilitic oculopathy
DRG00048,A5430,"Gonococcal infection of eye, unspecified"
DRG00048,A5431,Gonococcal conjunctivitis
DRG00048,A5432,Gonococcal iridocyclitis
DRG00048,A5433,Gonococcal keratitis
DRG00048,A5439,Other gonococcal eye infection
DRG00048,A710,Initial stage of trachoma
DRG00048,A711,Active stage of trachoma
DRG00048,A719,"Trachoma, unspecified"
DRG00048,A740,Chlamydial conjunctivitis
DRG00048,B0050,"Herpesviral ocular disease, unspecified"
DRG00048,B0051,Herpesviral iridocyclitis
DRG00048,B0052,Herpesviral keratitis
DRG00048,B0053,Herpesviral conjunctivitis
DRG00048,B0059,Other herpesviral disease of eye
DRG00048,B0230,"Zoster ocular disease, unspecified"
DRG00048,B0231,Zoster conjunctivitis
DRG00048,B0232,Zoster iridocyclitis
DRG00048,B0233,Zoster keratitis
DRG00048,B0234,Zoster scleritis
DRG00048,B0239,Other herpes zoster eye disease
DRG00048,B0581,Measles keratitis and keratoconjunctivitis
DRG00048,B300,Keratoconjunctivitis due to adenovirus
DRG00048,B301,Conjunctivitis due to adenovirus
DRG00048,B302,Viral pharyngoconjunctivitis
DRG00048,B303,Acute epidemic hemorrhagic conjunctivitis (enteroviral)
DRG00048,B308,Other viral conjunctivitis
DRG00048,B309,"Viral conjunctivitis, unspecified"
DRG00048,B5801,Toxoplasma chorioretinitis
DRG00048,B5809,Other toxoplasma oculopathy
DRG00048,B940,Sequelae of trachoma
DRG00048,D0410,"Carcinoma in situ of skin of unspecified eyelid, including canthus"
DRG00048,D0411,"Carcinoma in situ of skin of right eyelid, including canthus"
DRG00048,D0412,"Carcinoma in situ of skin of left eyelid, including canthus"
DRG00048,D0920,Carcinoma in situ of unspecified eye
DRG00048,D0921,Carcinoma in situ of right eye
DRG00048,D0922,Carcinoma in situ of left eye
DRG00048,D2210,"Melanocytic nevi of unspecified eyelid, including canthus"
DRG00048,D2211,"Melanocytic nevi of right eyelid, including canthus"
DRG00048,D2212,"Melanocytic nevi of left eyelid, including canthus"
DRG00048,D2310,"Other benign neoplasm of skin of unspecified eyelid, including canthus"
DRG00048,D2311,"Other benign neoplasm of skin of right eyelid, including canthus"
DRG00048,D2312,"Other benign neoplasm of skin of left eyelid, including canthus"
DRG00048,D3100,Benign neoplasm of unspecified conjunctiva
DRG00048,D3101,Benign neoplasm of right conjunctiva
DRG00048,D3102,Benign neoplasm of left conjunctiva
DRG00048,D3110,Benign neoplasm of unspecified cornea
DRG00048,D3111,Benign neoplasm of right cornea
DRG00048,D3112,Benign neoplasm of left cornea
DRG00048,D3120,Benign neoplasm of unspecified retina
DRG00048,D3121,Benign neoplasm of right retina
DRG00048,D3122,Benign neoplasm of left retina
DRG00048,D3130,Benign neoplasm of unspecified choroid
DRG00048,D3131,Benign neoplasm of right choroid
DRG00048,D3132,Benign neoplasm of left choroid
DRG00048,D3140,Benign neoplasm of unspecified ciliary body
DRG00048,D3141,Benign neoplasm of right ciliary body
DRG00048,D3142,Benign neoplasm of left ciliary body
DRG00048,D3150,Benign neoplasm of unspecified lacrimal gland and duct
DRG00048,D3151,Benign neoplasm of right lacrimal gland and duct
DRG00048,D3152,Benign neoplasm of left lacrimal gland and duct
DRG00048,D3160,Benign neoplasm of unspecified site of unspecified orbit
DRG00048,D3161,Benign neoplasm of unspecified site of right orbit
DRG00048,D3162,Benign neoplasm of unspecified site of left orbit
DRG00048,D3190,Benign neoplasm of unspecified part of unspecified eye
DRG00048,D3191,Benign neoplasm of unspecified part of right eye
DRG00048,D3192,Benign neoplasm of unspecified part of left eye
DRG00048,E08311,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema
DRG00048,E08319,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema
DRG00048,E08321,Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema
DRG00048,E08329,Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema
DRG00048,E08331,Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema
DRG00048,E08339,Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema
DRG00048,E08341,Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema
DRG00048,E08349,Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema
DRG00048,E08351,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema
DRG00048,E08359,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema
DRG00048,E0836,Diabetes mellitus due to underlying condition with diabetic cataract
DRG00048,E0839,Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication
DRG00048,E09311,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy with macular edema
DRG00048,E09319,Drug or chemical induced diabetes mellitus with unspecified diabetic retinopathy without macular edema
DRG00048,E09321,Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
DRG00048,E09329,Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
DRG00048,E09331,Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
DRG00048,E09339,Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
DRG00048,E09341,Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
DRG00048,E09349,Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
DRG00048,E09351,Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema
DRG00048,E09359,Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema
DRG00048,E0936,Drug or chemical induced diabetes mellitus with diabetic cataract
DRG00048,E0939,Drug or chemical induced diabetes mellitus with other diabetic ophthalmic complication
DRG00048,E10311,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema
DRG00048,E10319,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema
DRG00048,E10321,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
DRG00048,E10329,Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
DRG00048,E10331,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
DRG00048,E10339,Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
DRG00048,E10341,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema
DRG00048,E10349,Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema
DRG00048,E10351,Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema
DRG00048,E10359,Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema
DRG00048,E1036,Type 1 diabetes mellitus with diabetic cataract
DRG00048,E1039,Type 1 diabetes mellitus with other diabetic ophthalmic complication
DRG00048,E11311,Type 2 diabetes mellitus with unspecified diabetic retinopathy with macular edema
DRG00048,E11319,Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema
DRG00048,E11321,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema
DRG00048,E11329,Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema
DRG00048,E11331,Type 2 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema
