DRG47602,0V507ZZ,"Destruction of Prostate, Via Natural or Artificial Opening"
DRG47602,0V508ZZ,"Destruction of Prostate, Via Natural or Artificial Opening Endoscopic"
DRG47602,0V9000Z,"Drainage of Prostate with Drainage Device, Open Approach"
DRG47602,0V900ZX,"Drainage of Prostate, Open Approach, Diagnostic"
DRG47602,0V900ZZ,"Drainage of Prostate, Open Approach"
DRG47602,0V9070Z,"Drainage of Prostate with Drainage Device, Via Natural or Artificial Opening"
DRG47602,0V907ZZ,"Drainage of Prostate, Via Natural or Artificial Opening"
DRG47602,0V9080Z,"Drainage of Prostate with Drainage Device, Via Natural or Artificial Opening Endoscopic"
DRG47602,0V908ZZ,"Drainage of Prostate, Via Natural or Artificial Opening Endoscopic"
DRG47602,0VB00ZX,"Excision of Prostate, Open Approach, Diagnostic"
DRG47602,0VB00ZZ,"Excision of Prostate, Open Approach"
DRG47602,0VB03ZZ,"Excision of Prostate, Percutaneous Approach"
DRG47602,0VB04ZZ,"Excision of Prostate, Percutaneous Endoscopic Approach"
DRG47602,0VB07ZZ,"Excision of Prostate, Via Natural or Artificial Opening"
DRG47602,0VB08ZZ,"Excision of Prostate, Via Natural or Artificial Opening Endoscopic"
DRG47602,0VC00ZZ,"Extirpation of Matter from Prostate, Open Approach"
DRG47602,0VC03ZZ,"Extirpation of Matter from Prostate, Percutaneous Approach"
DRG47602,0VC04ZZ,"Extirpation of Matter from Prostate, Percutaneous Endoscopic Approach"
DRG47602,0VC07ZZ,"Extirpation of Matter from Prostate, Via Natural or Artificial Opening"
DRG47602,0VC08ZZ,"Extirpation of Matter from Prostate, Via Natural or Artificial Opening Endoscopic"
DRG47602,0VJ40ZZ,"Inspection of Prostate and Seminal Vesicles, Open Approach"
DRG47602,0VJ43ZZ,"Inspection of Prostate and Seminal Vesicles, Percutaneous Approach"
DRG47602,0VJ44ZZ,"Inspection of Prostate and Seminal Vesicles, Percutaneous Endoscopic Approach"
DRG47602,0VN00ZZ,"Release Prostate, Open Approach"
DRG47602,0VN03ZZ,"Release Prostate, Percutaneous Approach"
DRG47602,0VN04ZZ,"Release Prostate, Percutaneous Endoscopic Approach"
DRG47602,0VN07ZZ,"Release Prostate, Via Natural or Artificial Opening"
DRG47602,0VN08ZZ,"Release Prostate, Via Natural or Artificial Opening Endoscopic"
DRG47602,0VP400Z,"Removal of Drainage Device from Prostate and Seminal Vesicles, Open Approach"
DRG47602,0VP401Z,"Removal of Radioactive Element from Prostate and Seminal Vesicles, Open Approach"
DRG47602,0VP403Z,"Removal of Infusion Device from Prostate and Seminal Vesicles, Open Approach"
DRG47602,0VP407Z,"Removal of Autologous Tissue Substitute from Prostate and Seminal Vesicles, Open Approach"
DRG47602,0VP40JZ,"Removal of Synthetic Substitute from Prostate and Seminal Vesicles, Open Approach"
DRG47602,0VP40KZ,"Removal of Nonautologous Tissue Substitute from Prostate and Seminal Vesicles, Open Approach"
DRG47602,0VP430Z,"Removal of Drainage Device from Prostate and Seminal Vesicles, Percutaneous Approach"
DRG47602,0VP431Z,"Removal of Radioactive Element from Prostate and Seminal Vesicles, Percutaneous Approach"
DRG47602,0VP433Z,"Removal of Infusion Device from Prostate and Seminal Vesicles, Percutaneous Approach"
DRG47602,0VP437Z,"Removal of Autologous Tissue Substitute from Prostate and Seminal Vesicles, Percutaneous Approach"
DRG47602,0VP43JZ,"Removal of Synthetic Substitute from Prostate and Seminal Vesicles, Percutaneous Approach"
DRG47602,0VP43KZ,"Removal of Nonautologous Tissue Substitute from Prostate and Seminal Vesicles, Percutaneous Approach"
DRG47602,0VP440Z,"Removal of Drainage Device from Prostate and Seminal Vesicles, Percutaneous Endoscopic Approach"
DRG47602,0VP441Z,"Removal of Radioactive Element from Prostate and Seminal Vesicles, Percutaneous Endoscopic Approach"
DRG47602,0VP443Z,"Removal of Infusion Device from Prostate and Seminal Vesicles, Percutaneous Endoscopic Approach"
DRG47602,0VP447Z,"Removal of Autologous Tissue Substitute from Prostate and Seminal Vesicles, Percutaneous Endoscopic Approach"
DRG47602,0VP44JZ,"Removal of Synthetic Substitute from Prostate and Seminal Vesicles, Percutaneous Endoscopic Approach"
