DRG,CM-PCS,en
DRG33301,E1021,Type 1 diabetes mellitus with diabetic nephropathy
DRG33301,E1022,Type 1 diabetes mellitus with diabetic chronic kidney disease
DRG33301,E1029,Type 1 diabetes mellitus with other diabetic kidney complication
DRG33301,E1121,Type 2 diabetes mellitus with diabetic nephropathy
DRG33301,E1122,Type 2 diabetes mellitus with diabetic chronic kidney disease
DRG33301,E1129,Type 2 diabetes mellitus with other diabetic kidney complication
DRG33301,E1321,Other specified diabetes mellitus with diabetic nephropathy
DRG33301,E1322,Other specified diabetes mellitus with diabetic chronic kidney disease
DRG33301,E1329,Other specified diabetes mellitus with other diabetic kidney complication
DRG33301,I701,Atherosclerosis of renal artery
DRG33301,I722,Aneurysm of renal artery
DRG33301,I7581,Atheroembolism of kidney
DRG33301,I7773,Dissection of renal artery
DRG33301,I823,Embolism and thrombosis of renal vein
DRG33301,M1030,"Gout due to renal impairment, unspecified site"
DRG33301,M10311,"Gout due to renal impairment, right shoulder"
DRG33301,M10312,"Gout due to renal impairment, left shoulder"
DRG33301,M10319,"Gout due to renal impairment, unspecified shoulder"
DRG33301,M10321,"Gout due to renal impairment, right elbow"
DRG33301,M10322,"Gout due to renal impairment, left elbow"
DRG33301,M10329,"Gout due to renal impairment, unspecified elbow"
DRG33301,M10331,"Gout due to renal impairment, right wrist"
DRG33301,M10332,"Gout due to renal impairment, left wrist"
DRG33301,M10339,"Gout due to renal impairment, unspecified wrist"
DRG33301,M10341,"Gout due to renal impairment, right hand"
DRG33301,M10342,"Gout due to renal impairment, left hand"
DRG33301,M10349,"Gout due to renal impairment, unspecified hand"
DRG33301,M10351,"Gout due to renal impairment, right hip"
DRG33301,M10352,"Gout due to renal impairment, left hip"
DRG33301,M10359,"Gout due to renal impairment, unspecified hip"
DRG33301,M10361,"Gout due to renal impairment, right knee"
DRG33301,M10362,"Gout due to renal impairment, left knee"
DRG33301,M10369,"Gout due to renal impairment, unspecified knee"
DRG33301,M10371,"Gout due to renal impairment, right ankle and foot"
DRG33301,M10372,"Gout due to renal impairment, left ankle and foot"
DRG33301,M10379,"Gout due to renal impairment, unspecified ankle and foot"
DRG33301,M1038,"Gout due to renal impairment, vertebrae"
DRG33301,M1039,"Gout due to renal impairment, multiple sites"
DRG33301,N000,Acute nephritic syndrome with minor glomerular abnormality
DRG33301,N001,Acute nephritic syndrome with focal and segmental glomerular lesions
DRG33301,N002,Acute nephritic syndrome with diffuse membranous glomerulonephritis
DRG33301,N003,Acute nephritic syndrome with diffuse mesangial proliferative glomerulonephritis
DRG33301,N004,Acute nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis
DRG33301,N005,Acute nephritic syndrome with diffuse mesangiocapillary glomerulonephritis
DRG33301,N006,Acute nephritic syndrome with dense deposit disease
DRG33301,N007,Acute nephritic syndrome with diffuse crescentic glomerulonephritis
DRG33301,N008,Acute nephritic syndrome with other morphologic changes
DRG33301,N009,Acute nephritic syndrome with unspecified morphologic changes
DRG33301,N010,Rapidly progressive nephritic syndrome with minor glomerular abnormality
DRG33301,N011,Rapidly progressive nephritic syndrome with focal and segmental glomerular lesions
DRG33301,N012,Rapidly progressive nephritic syndrome with diffuse membranous glomerulonephritis
DRG33301,N013,Rapidly progressive nephritic syndrome with diffuse mesangial proliferative glomerulonephritis
DRG33301,N014,Rapidly progressive nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis
DRG33301,N015,Rapidly progressive nephritic syndrome with diffuse mesangiocapillary glomerulonephritis
DRG33301,N016,Rapidly progressive nephritic syndrome with dense deposit disease
DRG33301,N017,Rapidly progressive nephritic syndrome with diffuse crescentic glomerulonephritis
DRG33301,N018,Rapidly progressive nephritic syndrome with other morphologic changes
DRG33301,N019,Rapidly progressive nephritic syndrome with unspecified morphologic changes
DRG33301,N020,Recurrent and persistent hematuria with minor glomerular abnormality
DRG33301,N021,Recurrent and persistent hematuria with focal and segmental glomerular lesions
DRG33301,N022,Recurrent and persistent hematuria with diffuse membranous glomerulonephritis
DRG33301,N023,Recurrent and persistent hematuria with diffuse mesangial proliferative glomerulonephritis
DRG33301,N024,Recurrent and persistent hematuria with diffuse endocapillary proliferative glomerulonephritis
DRG33301,N025,Recurrent and persistent hematuria with diffuse mesangiocapillary glomerulonephritis
DRG33301,N026,Recurrent and persistent hematuria with dense deposit disease
DRG33301,N027,Recurrent and persistent hematuria with diffuse crescentic glomerulonephritis
DRG33301,N028,Recurrent and persistent hematuria with other morphologic changes
DRG33301,N029,Recurrent and persistent hematuria with unspecified morphologic changes
DRG33301,N030,Chronic nephritic syndrome with minor glomerular abnormality
DRG33301,N031,Chronic nephritic syndrome with focal and segmental glomerular lesions
DRG33301,N032,Chronic nephritic syndrome with diffuse membranous glomerulonephritis
DRG33301,N033,Chronic nephritic syndrome with diffuse mesangial proliferative glomerulonephritis
DRG33301,N034,Chronic nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis
DRG33301,N035,Chronic nephritic syndrome with diffuse mesangiocapillary glomerulonephritis
DRG33301,N036,Chronic nephritic syndrome with dense deposit disease
DRG33301,N037,Chronic nephritic syndrome with diffuse crescentic glomerulonephritis
DRG33301,N038,Chronic nephritic syndrome with other morphologic changes
DRG33301,N039,Chronic nephritic syndrome with unspecified morphologic changes
DRG33301,N040,Nephrotic syndrome with minor glomerular abnormality
DRG33301,N041,Nephrotic syndrome with focal and segmental glomerular lesions
DRG33301,N042,Nephrotic syndrome with diffuse membranous glomerulonephritis
DRG33301,N043,Nephrotic syndrome with diffuse mesangial proliferative glomerulonephritis
DRG33301,N044,Nephrotic syndrome with diffuse endocapillary proliferative glomerulonephritis
DRG33301,N045,Nephrotic syndrome with diffuse mesangiocapillary glomerulonephritis
DRG33301,N046,Nephrotic syndrome with dense deposit disease
DRG33301,N047,Nephrotic syndrome with diffuse crescentic glomerulonephritis
DRG33301,N048,Nephrotic syndrome with other morphologic changes
DRG33301,N049,Nephrotic syndrome with unspecified morphologic changes
DRG33301,N050,Unspecified nephritic syndrome with minor glomerular abnormality
DRG33301,N051,Unspecified nephritic syndrome with focal and segmental glomerular lesions
DRG33301,N052,Unspecified nephritic syndrome with diffuse membranous glomerulonephritis
DRG33301,N053,Unspecified nephritic syndrome with diffuse mesangial proliferative glomerulonephritis
DRG33301,N054,Unspecified nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis
DRG33301,N055,Unspecified nephritic syndrome with diffuse mesangiocapillary glomerulonephritis
DRG33301,N056,Unspecified nephritic syndrome with dense deposit disease
DRG33301,N057,Unspecified nephritic syndrome with diffuse crescentic glomerulonephritis
DRG33301,N058,Unspecified nephritic syndrome with other morphologic changes
DRG33301,N059,Unspecified nephritic syndrome with unspecified morphologic changes
DRG33301,N060,Isolated proteinuria with minor glomerular abnormality
DRG33301,N061,Isolated proteinuria with focal and segmental glomerular lesions
DRG33301,N062,Isolated proteinuria with diffuse membranous glomerulonephritis
DRG33301,N063,Isolated proteinuria with diffuse mesangial proliferative glomerulonephritis
DRG33301,N064,Isolated proteinuria with diffuse endocapillary proliferative glomerulonephritis
DRG33301,N065,Isolated proteinuria with diffuse mesangiocapillary glomerulonephritis
DRG33301,N066,Isolated proteinuria with dense deposit disease
DRG33301,N067,Isolated proteinuria with diffuse crescentic glomerulonephritis
DRG33301,N068,Isolated proteinuria with other morphologic lesion
DRG33301,N069,Isolated proteinuria with unspecified morphologic lesion
DRG33301,N070,"Hereditary nephropathy, not elsewhere classified with minor glomerular abnormality"
DRG33301,N071,"Hereditary nephropathy, not elsewhere classified with focal and segmental glomerular lesions"
DRG33301,N072,"Hereditary nephropathy, not elsewhere classified with diffuse membranous glomerulonephritis"
DRG33301,N073,"Hereditary nephropathy, not elsewhere classified with diffuse mesangial proliferative glomerulonephritis"
DRG33301,N074,"Hereditary nephropathy, not elsewhere classified with diffuse endocapillary proliferative glomerulonephritis"
DRG33301,N075,"Hereditary nephropathy, not elsewhere classified with diffuse mesangiocapillary glomerulonephritis"
DRG33301,N076,"Hereditary nephropathy, not elsewhere classified with dense deposit disease"
DRG33301,N077,"Hereditary nephropathy, not elsewhere classified with diffuse crescentic glomerulonephritis"
DRG33301,N078,"Hereditary nephropathy, not elsewhere classified with other morphologic lesions"
DRG33301,N079,"Hereditary nephropathy, not elsewhere classified with unspecified morphologic lesions"
DRG33301,N1370,"Vesicoureteral-reflux, unspecified"
DRG33301,N1371,Vesicoureteral-reflux without reflux nephropathy
DRG33301,N13721,"Vesicoureteral-reflux with reflux nephropathy without hydroureter, unilateral"
DRG33301,N13722,"Vesicoureteral-reflux with reflux nephropathy without hydroureter, bilateral"
DRG33301,N13729,"Vesicoureteral-reflux with reflux nephropathy without hydroureter, unspecified"
DRG33301,N13731,"Vesicoureteral-reflux with reflux nephropathy with hydroureter, unilateral"
DRG33301,N13732,"Vesicoureteral-reflux with reflux nephropathy with hydroureter, bilateral"
DRG33301,N13739,"Vesicoureteral-reflux with reflux nephropathy with hydroureter, unspecified"
DRG33301,N139,"Obstructive and reflux uropathy, unspecified"
DRG33301,N140,Analgesic nephropathy
DRG33301,N141,"Nephropathy induced by other drugs, medicaments and biological substances"
DRG33301,N142,"Nephropathy induced by unspecified drug, medicament or biological substance"
DRG33301,N143,Nephropathy induced by heavy metals
DRG33301,N144,"Toxic nephropathy, not elsewhere classified"
DRG33301,N150,Balkan nephropathy
DRG33301,N158,Other specified renal tubulo-interstitial diseases
DRG33301,N181,"Chronic kidney disease, stage 1"
DRG33301,N182,"Chronic kidney disease, stage 2 (mild)"
DRG33301,N183,"Chronic kidney disease, stage 3 (moderate)"
DRG33301,N250,Renal osteodystrophy
