DRG39201	脾臟切除術，年齡大於等於18歲，有合併症或併發症
DRG39202	脾臟切除術，年齡大於等於18歲，無合併症或併發症
DRG39301	脾臟切除術，年齡0~17歲，有合併症或併發症
DRG39302	脾臟切除術，年齡0~17歲，無合併症或併發症
DRG39401	血液及造血器官之其他手術，有合併症或併發症
DRG39402	血液及造血器官之其他手術，無合併症或併發症
DRG39501	紅血球疾患(1)，年齡大於等於18歲
DRG39601	紅血球疾患(1)，年齡0~17歲
DRG39502	紅血球疾患(2)，年齡大於等於18歲，有合併症或併發症
DRG39503	紅血球疾患(2)，年齡大於等於18歲，無合併症或併發症
DRG39602	紅血球疾患(2)，年齡0~17歲，有合併症或併發症
DRG39603	紅血球疾患(2)，年齡0~17歲，無合併症或併發症
DRG39701	VON WILLEBRAND'S DISEASE，有合併症或併發症
DRG39702	VON WILLEBRAND'S DISEASE，無合併症或併發症
DRG39703	去纖維蛋白徵候群，有合併症或併發症
DRG39704	去纖維蛋白徵候群，無合併症或併發症
DRG39705	其他血液凝固缺陷，有合併症或併發症
DRG39706	其他血液凝固缺陷，無合併症或併發症
DRG39802	網狀內皮及免疫性疾患(1)，有合併症或併發症
DRG39902	網狀內皮及免疫性疾患(1)，無合併症或併發症
DRG39803	網狀內皮及免疫性疾患(2)，有合併症或併發症
DRG39903	網狀內皮及免疫性疾患(2)，無合併症或併發症
DRG39804	網狀內皮及免疫性疾患(3)，有合併症或併發症
DRG39904	網狀內皮及免疫性疾患(3)，無合併症或併發症
