DRG30201	腎移植，有合併症或併發症
DRG30202	腎移植，無合併症或併發症
DRG30301	腎、輸尿管及膀胱腫瘤手術，有合併症或併發症
DRG30302	腎、輸尿管及膀胱腫瘤手術，無合併症或併發症
DRG304	腎、輸尿管及膀胱非惡性腫瘤手術，有合併症或併發症
DRG305	腎、輸尿管及膀胱非惡性腫瘤手術，無合併症或併發症
DRG306	攝護腺切除術，有合併症或併發症
DRG307	攝護腺切除術，無合併症或併發症
DRG308	膀胱小手術，有合併症或併發症
DRG309	膀胱小手術，無合併症或併發症
DRG310	經由尿道之手術，有合併症或併發症
DRG311	經由尿道之手術，無合併症或併發症
DRG312	尿道手術，年齡大於等於18歲，有合併症或併發症
DRG313	尿道手術，年齡大於等於18歲，無合併症或併發症
DRG314	尿道手術，年齡0-17歲
DRG31501	其他腎及尿道手術，有合併症或併發症
DRG31502	其他腎及尿道手術，無合併症或併發症
DRG31601	腎衰竭，有合併症或併發症，洗腎
DRG31602	腎衰竭，無合併症或併發症，洗腎
DRG31603	腎衰竭，有合併症或併發症，無洗腎
DRG31604	腎衰竭，無合併症或併發症，無洗腎
DRG317	住診血液透析
DRG318	腎及泌尿道腫瘤，有合併症或併發症
DRG319	腎及泌尿道腫瘤，無合併症或併發症
DRG320	腎及泌尿道感染，年齡大於等於18歲，有合併症或併發症
DRG321	腎及泌尿道感染，年齡大於等於18歲，無合併症或併發症
DRG32201	腎及泌尿道感染，年齡0-17歲，有合併症或併發症
DRG32202	腎及泌尿道感染，年齡0-17歲，無合併症或併發症
DRG32301	尿道結石，有體外震波碎石術治療(1)，有合併症或併發症
DRG32401	尿道結石，有體外震波碎石術治療(1)，無合併症或併發症
DRG32302	尿道結石，無體外震波碎石術治療(2)，有合併症或併發症
DRG32402	尿道結石，無體外震波碎石術治療(2)，無合併症或併發症
DRG325	腎及泌尿道症狀及徵候，年齡大於等於18歲，有合併症或併發症
DRG326	腎及泌尿道症狀及徵候，年齡大於等於18歲，無合併症或併發症
DRG32701	腎及泌尿道症狀及徵候，年齡0-17歲，有合併症或併發症
DRG32702	腎及泌尿道症狀及徵候，年齡0-17歲，無合併症或併發症
DRG328	尿道狹窄，年齡大於等於18歲，有合併症或併發症
DRG329	尿道狹窄，年齡大於等於18歲，無合併症或併發症
DRG33001	尿道狹窄，年齡0-17歲，有合併症或併發症
DRG33002	尿道狹窄，年齡0-17歲，無合併症或併發症
DRG331	其他腎及泌尿道診斷，年齡大於等於18歲，有合併症或併發症
DRG332	其他腎及泌尿道診斷，年齡大於等於18歲，無合併症或併發症
DRG33301	其他腎及泌尿道診斷，年齡0-17歲，有合併症或併發症
DRG33302	其他腎及泌尿道診斷，年齡0-17歲，無合併症或併發症
