DRG,CM-PCS,en
N07,P0506,"Newborn light for gestational age, 1500-1749 grams"
N07,P0507,"Newborn light for gestational age, 1750-1999 grams"
N07,P0516,"Newborn small for gestational age, 1500-1749 grams"
N07,P0517,"Newborn small for gestational age, 1750-1999 grams"
N07,P0716,"Other low birth weight newborn, 1500-1749 grams"
N07,P0717,"Other low birth weight newborn, 1750-1999 grams"
N07,5A09357,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Continuous Positive Airway Pressure"
N07,5A09457,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Continuous Positive Airway Pressure"
N07,5A09557,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Continuous Positive Airway Pressure"
N07,5A1935Z,"Respiratory Ventilation, Less than 24 Consecutive Hours"
N07,5A1945Z,"Respiratory Ventilation, 24-96 Consecutive Hours"
N07,5A1955Z,"Respiratory Ventilation, Greater than 96 Consecutive Hours"
