DRG,CM-PCS,en
DRG39810,D730,Hyposplenism
DRG39810,D731,Hypersplenism
DRG39810,D732,Chronic congestive splenomegaly
DRG39810,D733,Abscess of spleen
DRG39810,D734,Cyst of spleen
DRG39810,D735,Infarction of spleen
DRG39810,D7389,Other diseases of spleen
DRG39810,D739,"Disease of spleen, unspecified"
DRG39810,D750,Familial erythrocytosis
DRG39810,D759,"Disease of blood and blood-forming organs, unspecified"
DRG39810,I898,Other specified noninfective disorders of lymphatic vessels and lymph nodes
DRG39810,I899,"Noninfective disorder of lymphatic vessels and lymph nodes, unspecified"
DRG39810,Q8901,Asplenia (congenital)
DRG39810,Q8909,Congenital malformations of spleen
DRG39810,R161,"Splenomegaly, not elsewhere classified"
DRG39810,S3600XA,"Unspecified injury of spleen, initial encounter"
DRG39810,S36020A,"Minor contusion of spleen, initial encounter"
DRG39810,S36021A,"Major contusion of spleen, initial encounter"
DRG39810,S36029A,"Unspecified contusion of spleen, initial encounter"
DRG39810,S36030A,"Superficial (capsular) laceration of spleen, initial encounter"
DRG39810,S36031A,"Moderate laceration of spleen, initial encounter"
DRG39810,S36032A,"Major laceration of spleen, initial encounter"
DRG39810,S36039A,"Unspecified laceration of spleen, initial encounter"
DRG39810,S3609XA,"Other injury of spleen, initial encounter"
