,DRG,CM-PCS,en
14289,DRG18701,B002,Herpesviral gingivostomatitis and pharyngotonsillitis
14290,DRG18701,B370,Candidal stomatitis
14291,DRG18701,B3783,Candidal cheilitis
14292,DRG18701,D100,Benign neoplasm of lip
14293,DRG18701,D101,Benign neoplasm of tongue
14294,DRG18701,D102,Benign neoplasm of floor of mouth
14295,DRG18701,D1030,Benign neoplasm of unspecified part of mouth
14296,DRG18701,D1039,Benign neoplasm of other parts of mouth
14297,DRG18701,D165,Benign neoplasm of lower jaw bone
14298,DRG18701,K098,"Other cysts of oral region, not elsewhere classified"
14299,DRG18701,K099,"Cyst of oral region, unspecified"
14300,DRG18701,K120,Recurrent oral aphthae
14301,DRG18701,K121,Other forms of stomatitis
14302,DRG18701,K122,Cellulitis and abscess of mouth
14303,DRG18701,K1230,"Oral mucositis (ulcerative), unspecified"
14304,DRG18701,K1231,Oral mucositis (ulcerative) due to antineoplastic therapy
14305,DRG18701,K1232,Oral mucositis (ulcerative) due to other drugs
14306,DRG18701,K1233,Oral mucositis (ulcerative) due to radiation
14307,DRG18701,K1239,Other oral mucositis (ulcerative)
14308,DRG18701,K130,Diseases of lips
14309,DRG18701,K131,Cheek and lip biting
14310,DRG18701,K1321,"Leukoplakia of oral mucosa, including tongue"
14311,DRG18701,K1322,Minimal keratinized residual ridge mucosa
14312,DRG18701,K1323,Excessive keratinized residual ridge mucosa
14313,DRG18701,K1324,Leukokeratosis nicotina palati
14314,DRG18701,K1329,"Other disturbances of oral epithelium, including tongue"
14315,DRG18701,K133,Hairy leukoplakia
14316,DRG18701,K134,Granuloma and granuloma-like lesions of oral mucosa
14317,DRG18701,K135,Oral submucous fibrosis
14318,DRG18701,K136,Irritative hyperplasia of oral mucosa
14319,DRG18701,K1370,Unspecified lesions of oral mucosa
14320,DRG18701,K1379,Other lesions of oral mucosa
14321,DRG18701,K140,Glossitis
14322,DRG18701,K141,Geographic tongue
14323,DRG18701,K142,Median rhomboid glossitis
14324,DRG18701,K143,Hypertrophy of tongue papillae
14325,DRG18701,K144,Atrophy of tongue papillae
14326,DRG18701,K145,Plicated tongue
14327,DRG18701,K146,Glossodynia
14328,DRG18701,K148,Other diseases of tongue
14329,DRG18701,K149,"Disease of tongue, unspecified"
14332,DRG18701,0CBW0Z0,"Excision of Upper Tooth, Open Approach, Single"
14333,DRG18701,0CBW0Z1,"Excision of Upper Tooth, Open Approach, Multiple"
14334,DRG18701,0CBW0Z2,"Excision of Upper Tooth, Open Approach, All"
14335,DRG18701,0CBWXZ0,"Excision of Upper Tooth, External Approach, Single"
14336,DRG18701,0CBWXZ1,"Excision of Upper Tooth, External Approach, Multiple"
14337,DRG18701,0CBWXZ2,"Excision of Upper Tooth, External Approach, All"
14338,DRG18701,0CBX0Z0,"Excision of Lower Tooth, Open Approach, Single"
14339,DRG18701,0CBX0Z1,"Excision of Lower Tooth, Open Approach, Multiple"
14340,DRG18701,0CBX0Z2,"Excision of Lower Tooth, Open Approach, All"
14341,DRG18701,0CBXXZ0,"Excision of Lower Tooth, External Approach, Single"
14342,DRG18701,0CBXXZ1,"Excision of Lower Tooth, External Approach, Multiple"
14343,DRG18701,0CBXXZ2,"Excision of Lower Tooth, External Approach, All"
14344,DRG18701,0CDWXZ0,"Extraction of Upper Tooth, Single, External Approach"
14345,DRG18701,0CDWXZ1,"Extraction of Upper Tooth, Multiple, External Approach"
14346,DRG18701,0CDWXZ2,"Extraction of Upper Tooth, All, External Approach"
14347,DRG18701,0CDXXZ0,"Extraction of Lower Tooth, Single, External Approach"
14348,DRG18701,0CDXXZ1,"Extraction of Lower Tooth, Multiple, External Approach"
14349,DRG18701,0CDXXZ2,"Extraction of Lower Tooth, All, External Approach"
14350,DRG18701,0CMW0Z0,"Reattachment of Upper Tooth, Single, Open Approach"
14351,DRG18701,0CMW0Z1,"Reattachment of Upper Tooth, Multiple, Open Approach"
14352,DRG18701,0CMW0Z2,"Reattachment of Upper Tooth, All, Open Approach"
14353,DRG18701,0CMWXZ0,"Reattachment of Upper Tooth, Single, External Approach"
14354,DRG18701,0CMWXZ1,"Reattachment of Upper Tooth, Multiple, External Approach"
14355,DRG18701,0CMWXZ2,"Reattachment of Upper Tooth, All, External Approach"
14356,DRG18701,0CMX0Z0,"Reattachment of Lower Tooth, Single, Open Approach"
14357,DRG18701,0CMX0Z1,"Reattachment of Lower Tooth, Multiple, Open Approach"
14358,DRG18701,0CMX0Z2,"Reattachment of Lower Tooth, All, Open Approach"
14359,DRG18701,0CMXXZ0,"Reattachment of Lower Tooth, Single, External Approach"
14360,DRG18701,0CMXXZ1,"Reattachment of Lower Tooth, Multiple, External Approach"
14361,DRG18701,0CMXXZ2,"Reattachment of Lower Tooth, All, External Approach"
14362,DRG18701,0CQW0Z0,"Repair of Upper Tooth, Single, Open Approach"
14363,DRG18701,0CQW0Z1,"Repair of Upper Tooth, Multiple, Open Approach"
14364,DRG18701,0CQW0Z2,"Repair of Upper Tooth, All, Open Approach"
14365,DRG18701,0CQWXZ0,"Repair of Upper Tooth, Single, External Approach"
14366,DRG18701,0CQWXZ1,"Repair of Upper Tooth, Multiple, External Approach"
14367,DRG18701,0CQWXZ2,"Repair of Upper Tooth, All, External Approach"
14368,DRG18701,0CQX0Z0,"Repair of Lower Tooth, Single, Open Approach"
14369,DRG18701,0CQX0Z1,"Repair of Lower Tooth, Multiple, Open Approach"
14370,DRG18701,0CQX0Z2,"Repair of Lower Tooth, All, Open Approach"
14371,DRG18701,0CQXXZ0,"Repair of Lower Tooth, Single, External Approach"
14372,DRG18701,0CQXXZ1,"Repair of Lower Tooth, Multiple, External Approach"
14373,DRG18701,0CQXXZ2,"Repair of Lower Tooth, All, External Approach"
14374,DRG18701,0CRW070,"Replacement of Upper Tooth, Single, with Autologous Tissue Substitute, Open Approach"
14375,DRG18701,0CRW071,"Replacement of Upper Tooth, Multiple, with Autologous Tissue Substitute, Open Approach"
14376,DRG18701,0CRW072,"Replacement of Upper Tooth, All, with Autologous Tissue Substitute, Open Approach"
14377,DRG18701,0CRW0J0,"Replacement of Upper Tooth, Single, with Synthetic Substitute, Open Approach"
14378,DRG18701,0CRW0J1,"Replacement of Upper Tooth, Multiple, with Synthetic Substitute, Open Approach"
14379,DRG18701,0CRW0J2,"Replacement of Upper Tooth, All, with Synthetic Substitute, Open Approach"
14380,DRG18701,0CRW0K0,"Replacement of Upper Tooth, Single, with Nonautologous Tissue Substitute, Open Approach"
14381,DRG18701,0CRW0K1,"Replacement of Upper Tooth, Multiple, with Nonautologous Tissue Substitute, Open Approach"
14382,DRG18701,0CRW0K2,"Replacement of Upper Tooth, All, with Nonautologous Tissue Substitute, Open Approach"
14383,DRG18701,0CRWX70,"Replacement of Upper Tooth, Single, with Autologous Tissue Substitute, External Approach"
14384,DRG18701,0CRWX71,"Replacement of Upper Tooth, Multiple, with Autologous Tissue Substitute, External Approach"
14385,DRG18701,0CRWX72,"Replacement of Upper Tooth, All, with Autologous Tissue Substitute, External Approach"
14386,DRG18701,0CRWXJ0,"Replacement of Upper Tooth, Single, with Synthetic Substitute, External Approach"
14387,DRG18701,0CRWXJ1,"Replacement of Upper Tooth, Multiple, with Synthetic Substitute, External Approach"
14388,DRG18701,0CRWXJ2,"Replacement of Upper Tooth, All, with Synthetic Substitute, External Approach"
14389,DRG18701,0CRWXK0,"Replacement of Upper Tooth, Single, with Nonautologous Tissue Substitute, External Approach"
14390,DRG18701,0CRWXK1,"Replacement of Upper Tooth, Multiple, with Nonautologous Tissue Substitute, External Approach"
14391,DRG18701,0CRWXK2,"Replacement of Upper Tooth, All, with Nonautologous Tissue Substitute, External Approach"
14392,DRG18701,0CRX070,"Replacement of Lower Tooth, Single, with Autologous Tissue Substitute, Open Approach"
14393,DRG18701,0CRX071,"Replacement of Lower Tooth, Multiple, with Autologous Tissue Substitute, Open Approach"
14394,DRG18701,0CRX072,"Replacement of Lower Tooth, All, with Autologous Tissue Substitute, Open Approach"
14395,DRG18701,0CRX0J0,"Replacement of Lower Tooth, Single, with Synthetic Substitute, Open Approach"
14396,DRG18701,0CRX0J1,"Replacement of Lower Tooth, Multiple, with Synthetic Substitute, Open Approach"
14397,DRG18701,0CRX0J2,"Replacement of Lower Tooth, All, with Synthetic Substitute, Open Approach"
14398,DRG18701,0CRX0K0,"Replacement of Lower Tooth, Single, with Nonautologous Tissue Substitute, Open Approach"
14399,DRG18701,0CRX0K1,"Replacement of Lower Tooth, Multiple, with Nonautologous Tissue Substitute, Open Approach"
14400,DRG18701,0CRX0K2,"Replacement of Lower Tooth, All, with Nonautologous Tissue Substitute, Open Approach"
14401,DRG18701,0CRXX70,"Replacement of Lower Tooth, Single, with Autologous Tissue Substitute, External Approach"
14402,DRG18701,0CRXX71,"Replacement of Lower Tooth, Multiple, with Autologous Tissue Substitute, External Approach"
14403,DRG18701,0CRXX72,"Replacement of Lower Tooth, All, with Autologous Tissue Substitute, External Approach"
14404,DRG18701,0CRXXJ0,"Replacement of Lower Tooth, Single, with Synthetic Substitute, External Approach"
14405,DRG18701,0CRXXJ1,"Replacement of Lower Tooth, Multiple, with Synthetic Substitute, External Approach"
14406,DRG18701,0CRXXJ2,"Replacement of Lower Tooth, All, with Synthetic Substitute, External Approach"
14407,DRG18701,0CRXXK0,"Replacement of Lower Tooth, Single, with Nonautologous Tissue Substitute, External Approach"
14408,DRG18701,0CRXXK1,"Replacement of Lower Tooth, Multiple, with Nonautologous Tissue Substitute, External Approach"
14409,DRG18701,0CRXXK2,"Replacement of Lower Tooth, All, with Nonautologous Tissue Substitute, External Approach"
14410,DRG18701,0CTW0Z0,"Resection of Upper Tooth, Single, Open Approach"
14411,DRG18701,0CTW0Z1,"Resection of Upper Tooth, Multiple, Open Approach"
14412,DRG18701,0CTW0Z2,"Resection of Upper Tooth, All, Open Approach"
