DRG20901	髖關節再置換術，有合併症或併發症
DRG20902	髖關節再置換術，無合併症或併發症
DRG20907	膝關節再置換術，有合併症或併發症
DRG20908	膝關節再置換術，無合併症或併發症
DRG20903	全髖關節置換術
DRG20904	部分髖關節置換術
DRG20905	全膝關節置換術
DRG20909	部分膝關節置換術
DRG20906	全踝關節置換術及下肢重附著術
DRG21011	開放性骨折，髖及股骨手術，兩處以上，下肢關節除外，年齡大於等於18歲，有合併症或併發症
DRG21111	開放性骨折，髖及股骨手術，兩處以上，下肢關節除外，年齡大於等於18歲，無合併症或併發症
DRG21211	開放性骨折，髖及股骨手術，兩處以上，下肢關節除外，年齡0-17歲，有合併症或併發症
DRG21212	開放性骨折，髖及股骨手術，兩處以上，下肢關節除外，年齡0-17歲，無合併症或併發症
DRG21001	開放性骨折，髖及股骨手術1處，下肢關節除外，年齡大於等於18歲，有合併症或併發症
DRG21101	開放性骨折，髖及股骨手術1處，下肢關節除外，年齡大於等於18歲，無合併症或併發症
DRG21201	開放性骨折，髖及股骨手術1處，下肢關節除外，年齡0-17歲，有合併症或併發症
DRG21202	開放性骨折，髖及股骨手術1處，下肢關節除外，年齡0-17歲，無合併症或併發症
DRG21012	體內關節裝置物所致感染及發炎之髖及股骨手術，下肢關節除外，年齡大於等於18歲，有合併症或併發症
DRG21112	體內關節裝置物所致感染及發炎之髖及股骨手術，下肢關節除外，年齡大於等於18歲，無合併症或併發症
DRG21002	其他主或次診斷為感染之髖及股骨手術，下肢關節除外，年齡大於等於18歲，有合併症或併發症
DRG21102	其他主或次診斷為感染之髖及股骨手術，下肢關節除外，年齡大於等於18歲，無合併症或併發症
DRG21203	主或次診斷為感染之髖及股骨手術，下肢關節除外，年齡0-17歲，有合併症或併發症
DRG21204	主或次診斷為感染之髖及股骨手術，下肢關節除外，年齡0-17歲，無合併症或併發症
DRG21013	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，髖及股骨手術2處以上，下肢關節除外，年齡大於等於18歲，有合併症或併發症
DRG21113	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，髖及股骨手術2處以上，下肢關節除外，年齡大於等於18歲，無合併症或併發症
DRG21213	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，髖及股骨手術2處以上，下肢關節除外，年齡0-17歲，有合併症或併發症
DRG21214	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，髖及股骨手術2處以上，下肢關節除外，年齡0-17歲，無合併症或併發症
DRG21003	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，髖及股骨手術1處，下肢關節除外，年齡大於等於18歲，有合併症或併發症
DRG21103	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，髖及股骨手術1處，下肢關節除外，年齡大於等於18歲，無合併症或併發症
DRG21205	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，髖及股骨手術1處，下肢關節除外，年齡0-17歲，有合併症或併發症
DRG21206	閉鎖性骨折及其他骨骼肌肉系統及結締組織之疾病與疾患，髖及股骨手術1處，下肢關節除外，年齡0-17歲，無合併症或併發症
DRG21301	骨骼、肌肉系統及結締組織之截斷術(1)，有合併症或併發症
DRG21302	骨骼、肌肉系統及結締組織之截斷術(1)，無合併症或併發症
DRG21303	骨骼、肌肉系統及結締組織之截斷術(2)，有合併症或併發症
DRG21304	骨骼、肌肉系統及結締組織之截斷術(2)，無合併症或併發症
DRG21305	骨骼、肌肉系統及結締組織之截斷術(3)，有合併症或併發症
DRG21306	骨骼、肌肉系統及結締組織之截斷術(3)，無合併症或併發症
DRG21601	骨骼、肌肉系統及結締組織之活體切片，有合併症或併發症
DRG21602	骨骼、肌肉系統及結締組織之活體切片，無合併症或併發症
DRG21701	骨骼、肌肉系統及結締組織疾患之擴創術及皮膚移植術，手除外(1)，有合併症或併發症
DRG21702	骨骼、肌肉系統及結締組織疾患之擴創術及皮膚移植術，手除外(1)，無合併症或併發症
DRG21703	骨骼、肌肉系統及結締組織疾患之擴創術及皮膚移植術，手除外(2)，有合併症或併發症
DRG21704	骨骼、肌肉系統及結締組織疾患之擴創術及皮膚移植術，手除外(2)，無合併症或併發症
DRG21811	開放性骨折，下肢及肱骨手術兩處以上，髖、足及股骨除外(1)，年齡大於等於18歲，有合併症或併發症
DRG21911	開放性骨折，下肢及肱骨手術兩處以上，髖、足及股骨除外(1)，年齡大於等於18歲，無合併症或併發症
DRG22011	開放性骨折，下肢及肱骨手術兩處以上，髖、足及股骨除外(1)，年齡0-17歲，有合併症或併發症
DRG22012	開放性骨折，下肢及肱骨手術兩處以上，髖、足及股骨除外(1)，年齡0-17歲，無合併症或併發症
DRG21801	開放性骨折，下肢及肱骨手術1處，髖、足及股骨除外(1)，年齡大於等於18歲，有合併症或併發症
DRG21901	開放性骨折，下肢及肱骨手術1處，髖、足及股骨除外(1)，年齡大於等於18歲，無合併症或併發症
DRG22001	開放性骨折，下肢及肱骨手術1處，髖、足及股骨除外(1)，年齡0-17歲，有合併症或併發症
DRG22002	開放性骨折，下肢及肱骨手術1處，髖、足及股骨除外(1)，年齡0-17歲，無合併症或併發症
