DRG370	剖腹生產，有合併症或併發症
DRG371	剖腹生產，無合併症或併發症
DRG372	陰道分娩，伴有複雜診斷
DRG37303	多胞胎妊娠陰道分娩，無複雜診斷，有合併症或併發症
DRG37304	多胞胎妊娠陰道分娩，無複雜診斷，無合併症或併發症
DRG37305	雙胞胎妊娠陰道分娩，無複雜診斷，有合併症或併發症
DRG37306	雙胞胎妊娠陰道分娩，無複雜診斷，無合併症或併發症
DRG37301	單胎妊娠陰道分娩，無複雜診斷，有合併症或併發症
DRG37302	單胎妊娠陰道分娩，無複雜診斷，無合併症或併發症
DRG37401	陰道分娩，有子宮擴刮術，有合併症或併發症
DRG37402	陰道分娩，有子宮擴刮術，無合併症或併發症
DRG37501	手術性陰道分娩，子宮擴刮術除外，有合併症或併發症
DRG37502	手術性陰道分娩，子宮擴刮術除外，無合併症或併發症
DRG37601	無手術之產後及流產後診斷(1)
DRG37602	無手術之產後及流產後診斷(2)，有合併症或併發症
DRG37603	無手術之產後及流產後診斷(2)，無合併症或併發症
DRG37604	無手術之產後及流產後診斷(3)，有合併症或併發症
DRG37605	無手術之產後及流產後診斷(3)，無合併症或併發症
DRG37701	伴有手術之產後及流產後診斷(1)
DRG37702	伴有手術之產後及流產後診斷(2)，有合併症或併發症
DRG37703	伴有手術之產後及流產後診斷(2)，無合併症或併發症
DRG37704	伴有手術之產後及流產後診斷(3)，有合併症或併發症
DRG37705	伴有手術之產後及流產後診斷(3)，無合併症或併發症
DRG37801	腹腔鏡子宮外孕手術
DRG37802	子宮外孕手術
DRG37803	子宮外孕，有合併症或併發症
DRG37804	子宮外孕，無合併症或併發症
DRG37901	迫切流產(1)
DRG37902	迫切流產(2)，有合併症或併發症
DRG37903	迫切流產(2)，無合併症或併發症
DRG37904	迫切流產(3)，有合併症或併發症
DRG37905	迫切流產(3)，無合併症或併發症
DRG38001	無子宮擴刮術之流產，有合併症或併發症
DRG38002	無子宮擴刮術之流產，無合併症或併發症
DRG38101	伴有子宮擴刮術之流產或子宮切開術，有合併症或併發症
DRG38102	伴有子宮擴刮術之流產或子宮切開術，無合併症或併發症
DRG38201	假產，有合併症或併發症
DRG38202	假產，無合併症或併發症
DRG38301	伴有內科併發症之其他產前診斷，有合併症或併發症
DRG38302	伴有內科併發症之其他產前診斷，無合併症或併發症
DRG38401	無內科併發症之其他產前診斷，有合併症或併發症 
DRG38402	無內科併發症之其他產前診斷，無合併症或併發症
DRG513	自行要求剖腹生產
