DRG,CM-PCS,en
DRG00320,A1810,"Tuberculosis of genitourinary system, unspecified"
DRG00320,A1811,Tuberculosis of kidney and ureter
DRG00320,A1812,Tuberculosis of bladder
DRG00320,A1813,Tuberculosis of other urinary organs
DRG00320,A3685,Diphtheritic cystitis
DRG00320,A5275,Syphilis of kidney and ureter
DRG00320,A5401,"Gonococcal cystitis and urethritis, unspecified"
DRG00320,A5611,Chlamydial female pelvic inflammatory disease
DRG00320,A5619,Other chlamydial genitourinary infection
DRG00320,A985,Hemorrhagic fever with renal syndrome
DRG00320,B650,Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]
DRG00320,B901,Sequelae of genitourinary tuberculosis
DRG00320,N10,Acute tubulo-interstitial nephritis
DRG00320,N110,Nonobstructive reflux-associated chronic pyelonephritis
DRG00320,N111,Chronic obstructive pyelonephritis
DRG00320,N118,Other chronic tubulo-interstitial nephritis
DRG00320,N119,"Chronic tubulo-interstitial nephritis, unspecified"
DRG00320,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic"
DRG00320,N135,Crossing vessel and stricture of ureter without hydronephrosis
DRG00320,N136,Pyonephrosis
DRG00320,N151,Renal and perinephric abscess
DRG00320,N159,"Renal tubulo-interstitial disease, unspecified"
DRG00320,N2884,Pyelitis cystica
DRG00320,N2885,Pyeloureteritis cystica
DRG00320,N2886,Ureteritis cystica
DRG00320,N3000,Acute cystitis without hematuria
DRG00320,N3001,Acute cystitis with hematuria
DRG00320,N3010,Interstitial cystitis (chronic) without hematuria
DRG00320,N3011,Interstitial cystitis (chronic) with hematuria
DRG00320,N3020,Other chronic cystitis without hematuria
DRG00320,N3021,Other chronic cystitis with hematuria
DRG00320,N3030,Trigonitis without hematuria
DRG00320,N3031,Trigonitis with hematuria
DRG00320,N3080,Other cystitis without hematuria
DRG00320,N3081,Other cystitis with hematuria
DRG00320,N3090,"Cystitis, unspecified without hematuria"
DRG00320,N3091,"Cystitis, unspecified with hematuria"
DRG00320,N340,Urethral abscess
DRG00320,N342,Other urethritis
DRG00320,N343,"Urethral syndrome, unspecified"
DRG00320,N390,"Urinary tract infection, site not specified"
