DRG,CM-PCS,en
DRG35202,N421,Congestion and hemorrhage of prostate
DRG35202,N4400,"Torsion of testis, unspecified"
DRG35202,N4401,Extravaginal torsion of spermatic cord
DRG35202,N4402,Intravaginal torsion of spermatic cord
DRG35202,N4403,Torsion of appendix testis
DRG35202,N4404,Torsion of appendix epididymis
DRG35202,N4601,Organic azoospermia
DRG35202,N46021,Azoospermia due to drug therapy
DRG35202,N46022,Azoospermia due to infection
DRG35202,N46023,Azoospermia due to obstruction of efferent ducts
DRG35202,N46024,Azoospermia due to radiation
DRG35202,N46025,Azoospermia due to systemic disease
DRG35202,N46029,Azoospermia due to other extratesticular causes
DRG35202,N4611,Organic oligospermia
DRG35202,N46121,Oligospermia due to drug therapy
DRG35202,N46122,Oligospermia due to infection
DRG35202,N46123,Oligospermia due to obstruction of efferent ducts
DRG35202,N46124,Oligospermia due to radiation
DRG35202,N46125,Oligospermia due to systemic disease
DRG35202,N46129,Oligospermia due to other extratesticular causes
DRG35202,N468,Other male infertility
DRG35202,N469,"Male infertility, unspecified"
DRG35202,N4830,"Priapism, unspecified"
DRG35202,N4831,Priapism due to trauma
DRG35202,N4833,"Priapism, drug-induced"
DRG35202,N4839,Other priapism
DRG35202,N500,Atrophy of testis
DRG35202,N501,Vascular disorders of male genital organs
DRG35202,R361,Hematospermia
