,DRG,CM-PCS,en
36746,DRG12202,I2101,ST elevation (STEMI) myocardial infarction involving left main coronary artery
36747,DRG12202,I2102,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery
36748,DRG12202,I2109,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall
36749,DRG12202,I2111,ST elevation (STEMI) myocardial infarction involving right coronary artery
36750,DRG12202,I2119,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall
36751,DRG12202,I2121,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery
36752,DRG12202,I2129,ST elevation (STEMI) myocardial infarction involving other sites
36753,DRG12202,I213,ST elevation (STEMI) myocardial infarction of unspecified site
36754,DRG12202,I214,Non-ST elevation (NSTEMI) myocardial infarction
36755,DRG12202,I220,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall
36756,DRG12202,I221,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall
36757,DRG12202,I222,Subsequent non-ST elevation (NSTEMI) myocardial infarction
36758,DRG12202,I228,Subsequent ST elevation (STEMI) myocardial infarction of other sites
36759,DRG12202,I229,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site
