DRG10401	心瓣膜手術及其他重大心臟胸腔手術，伴有心導管(1)
DRG10402	心瓣膜手術(3瓣)及其他重大心臟胸腔手術，伴有心導管(2)，有合併症或併發症
DRG10403	心瓣膜手術(3瓣）及其他重大心臟胸腔手術，伴有心導管(2)，無合併症或併發症
DRG10409	心瓣膜手術(2瓣）及其他重大心臟胸腔手術，伴有心導管(2)，有合併症或併發症
DRG10410	心瓣膜手術(2瓣）及其他重大心臟胸腔手術，伴有心導管(2)，無合併症或併發症
DRG10404	心瓣膜手術及其他重大心臟胸腔手術，伴有心導管(3)
DRG10405	心瓣膜手術及其他重大心臟胸腔手術，伴有心導管(4)
DRG10406	心瓣膜手術及其他重大心臟胸腔手術，伴有心導管(5)
DRG10407	心瓣膜手術及其他重大心臟胸腔手術，伴有心導管(6)，有合併症或併發症
DRG10408	心瓣膜手術及其他重大心臟胸腔手術，伴有心導管(6)，無合併症或併發症
DRG10501	心瓣膜手術及其他重大心臟胸腔手術，無心導管(1)
DRG10502	心瓣膜手術(3瓣）及其他重大心臟胸腔手術，無心導管(2)，有合併症或併發症
DRG10503	心瓣膜手術(3瓣）及其他重大心臟胸腔手術，無心導管(2)，無合併症或併發症
DRG10509	心瓣膜手術(2瓣）及其他重大心臟胸腔手術，無心導管(2)，有合併症或併發症
DRG10510	心瓣膜手術(2瓣）及其他重大心臟胸腔手術，無心導管(2)，無合併症或併發症
DRG10504	心瓣膜手術及其他重大心臟胸腔手術，無心導管(3)
DRG10505	心瓣膜手術及其他重大心臟胸腔手術，無心導管(4)
DRG10506	心瓣膜手術及其他重大心臟胸腔手術，無心導管(5)
DRG10507	心瓣膜手術及其他重大心臟胸腔手術，無心導管(6)，有合併症或併發症
DRG10508	心瓣膜手術及其他重大心臟胸腔手術，無心導管(6)，無合併症或併發症
DRG10611	冠狀動脈繞道2處以上血管手術伴有3個以上心瓣膜手術，有合併症或併發症
DRG10612	冠狀動脈繞道2處以上血管手術伴有3個以上心瓣膜手術，無合併症或併發症
DRG10613	冠狀動脈繞道2處以上血管手術伴有2個心瓣膜手術，有合併症或併發症
DRG10614	冠狀動脈繞道2處以上血管手術伴有2個心瓣膜手術，無合併症或併發症
DRG10615	冠狀動脈繞道2處以上血管手術伴有1個心瓣膜手術，有合併症或併發症
DRG10616	冠狀動脈繞道2處以上血管手術伴有1個心瓣膜手術，無合併症或併發症
DRG10621	冠狀動脈繞道1處血管手術伴有3個以上心瓣膜手術，有合併症或併發症
DRG10622	冠狀動脈繞道1處血管手術伴有3個以上心瓣膜手術，無合併症或併發症
DRG10623	冠狀動脈繞道1處血管手術伴有2個心瓣膜手術，有合併症或併發症
DRG10624	冠狀動脈繞道1處血管手術伴有2個心瓣膜手術，無合併症或併發症
DRG10625	冠狀動脈繞道1處血管手術伴有1個心瓣膜手術，有合併症或併發症
DRG10626	冠狀動脈繞道1處血管手術伴有1個心瓣膜手術，無合併症或併發症
DRG10601	冠狀動脈繞道手術伴有經皮冠狀動脈多處血管成形術或瓣膜成形術，有合併症或併發症
DRG10602	冠狀動脈繞道手術伴有經皮冠狀動脈多處血管成形術或瓣膜成形術，無合併症或併發症
DRG10603	冠狀動脈繞道手術伴有經皮冠狀動脈單處血管成形術，有合併症或併發症
DRG10604	冠狀動脈繞道手術伴有經皮冠狀動脈單處血管成形術，無合併症或併發症
DRG10701	多處血管冠狀動脈繞道手術，伴有心導管
DRG10702	單處血管冠狀動脈繞道手術，伴有心導管
DRG10801	其他心臟胸腔手術，有合併症或併發症
DRG10802	其他心臟胸腔手術，無合併症或併發症
DRG10901	多處血管冠狀動脈繞道手術，無心導管
DRG10902	單處血管冠狀動脈繞道手術，無心導管
DRG11001	胸主動脈瘤剝離手術，有合併症或併發症
DRG11101	胸主動脈瘤剝離手術，無合併症或併發症
DRG11007	胸腹(腹)主動脈瘤剝離手術，有合併症或併發症
DRG11107	胸腹(腹)主動脈瘤剝離手術，無合併症或併發症
DRG11008	胸腹主動脈瘤手術，有合併症或併發症
DRG11108	胸腹主動脈瘤手術，無合併症或併發症
DRG11005	重大心血管手術(1)，有合併症或併發症
DRG11105	重大心血管手術(1)，無合併症或併發症
DRG11002	開放性動脈廔管(≧2.5MM)，重大心血管手術(2)，有合併症或併發症
DRG11102	開放性動脈廔管(≧2.5MM)，重大心血管手術(2)，無合併症或併發症
DRG11006	開放性動脈廔管(＜2.5MM)，重大心血管手術(2)，有合併症或併發症
DRG11106	開放性動脈廔管(＜2.5MM)，重大心血管手術(2)，無合併症或併發症
DRG11003	重大心血管手術(3)，有合併症或併發症
DRG11103	重大心血管手術(3)，無合併症或併發症
DRG11004	重大心血管手術(4)，有合併症或併發症
DRG11104	重大心血管手術(4)，無合併症或併發症
DRG11201	多處血管及其他經皮心臟血管手術
DRG11202	單處血管經皮心臟血管手術
DRG11203	經導管心臟病灶或組織剝除術
DRG11204	其他經皮心臟血管手術
DRG11301	循環系統疾患截斷術，膝以上，有合併症或併發症
DRG11302	循環系統疾患截斷術，膝以上，無合併症或併發症
DRG11303	循環系統疾患截斷術，腳踝至膝，有合併症或併發症
DRG11304	循環系統疾患截斷術，腳踝至膝，無合併症或併發症
DRG11305	循環系統疾患截斷術，腳踝以下，有合併症或併發症
DRG11306	循環系統疾患截斷術，腳踝以下，無合併症或併發症
DRG11401	上肢循環系統截斷術，有合併症或併發症
DRG11402	上肢循環系統截斷術，無合併症或併發症
