,DRG,CM-PCS,en
18075,DRG22016,0M5Q0ZZ,"Destruction of Right Ankle Bursa and Ligament, Open Approach"
18076,DRG22016,0M5Q3ZZ,"Destruction of Right Ankle Bursa and Ligament, Percutaneous Approach"
18077,DRG22016,0M5Q4ZZ,"Destruction of Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
18078,DRG22016,0M5R0ZZ,"Destruction of Left Ankle Bursa and Ligament, Open Approach"
18079,DRG22016,0M5R3ZZ,"Destruction of Left Ankle Bursa and Ligament, Percutaneous Approach"
18080,DRG22016,0M5R4ZZ,"Destruction of Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
18081,DRG22016,0M8Q0ZZ,"Division of Right Ankle Bursa and Ligament, Open Approach"
18082,DRG22016,0M8Q3ZZ,"Division of Right Ankle Bursa and Ligament, Percutaneous Approach"
18083,DRG22016,0M8Q4ZZ,"Division of Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
18084,DRG22016,0M8R0ZZ,"Division of Left Ankle Bursa and Ligament, Open Approach"
18085,DRG22016,0M8R3ZZ,"Division of Left Ankle Bursa and Ligament, Percutaneous Approach"
18086,DRG22016,0M8R4ZZ,"Division of Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
18087,DRG22016,0MBQ0ZZ,"Excision of Right Ankle Bursa and Ligament, Open Approach"
18088,DRG22016,0MBQ3ZZ,"Excision of Right Ankle Bursa and Ligament, Percutaneous Approach"
18089,DRG22016,0MBQ4ZZ,"Excision of Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
18090,DRG22016,0MBR0ZZ,"Excision of Left Ankle Bursa and Ligament, Open Approach"
18091,DRG22016,0MBR3ZZ,"Excision of Left Ankle Bursa and Ligament, Percutaneous Approach"
18092,DRG22016,0MBR4ZZ,"Excision of Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
18093,DRG22016,0MNQ0ZZ,"Release Right Ankle Bursa and Ligament, Open Approach"
18094,DRG22016,0MNQ3ZZ,"Release Right Ankle Bursa and Ligament, Percutaneous Approach"
18095,DRG22016,0MNQ4ZZ,"Release Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
18096,DRG22016,0MNQXZZ,"Release Right Ankle Bursa and Ligament, External Approach"
18097,DRG22016,0MNR0ZZ,"Release Left Ankle Bursa and Ligament, Open Approach"
18098,DRG22016,0MNR3ZZ,"Release Left Ankle Bursa and Ligament, Percutaneous Approach"
18099,DRG22016,0MNR4ZZ,"Release Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
18100,DRG22016,0MNRXZZ,"Release Left Ankle Bursa and Ligament, External Approach"
18101,DRG22016,0P8C0ZZ,"Division of Right Humeral Head, Open Approach"
18102,DRG22016,0P8C3ZZ,"Division of Right Humeral Head, Percutaneous Approach"
18103,DRG22016,0P8C4ZZ,"Division of Right Humeral Head, Percutaneous Endoscopic Approach"
