,DRG,CM-PCS,en
12646,DRG07302,A186,Tuberculosis of (inner) (middle) ear
12647,DRG07302,A360,Pharyngeal diphtheria
12648,DRG07302,A361,Nasopharyngeal diphtheria
12649,DRG07302,A362,Laryngeal diphtheria
12650,DRG07302,A665,Gangosa
12651,DRG07302,B001,Herpesviral vesicular dermatitis
12652,DRG07302,B3784,Candidal otitis externa
12653,DRG07302,D104,Benign neoplasm of tonsil
12654,DRG07302,D105,Benign neoplasm of other parts of oropharynx
12655,DRG07302,D106,Benign neoplasm of nasopharynx
12656,DRG07302,D107,Benign neoplasm of hypopharynx
12657,DRG07302,D109,"Benign neoplasm of pharynx, unspecified"
12658,DRG07302,D110,Benign neoplasm of parotid gland
12659,DRG07302,D117,Benign neoplasm of other major salivary glands
12660,DRG07302,D119,"Benign neoplasm of major salivary gland, unspecified"
12661,DRG07302,D140,"Benign neoplasm of middle ear, nasal cavity and accessory sinuses"
12662,DRG07302,D141,Benign neoplasm of larynx
12663,DRG07302,H6000,"Abscess of external ear, unspecified ear"
12664,DRG07302,H6001,Abscess of right external ear
12665,DRG07302,H6002,Abscess of left external ear
12666,DRG07302,H6003,"Abscess of external ear, bilateral"
12667,DRG07302,H6010,"Cellulitis of external ear, unspecified ear"
12668,DRG07302,H6011,Cellulitis of right external ear
12669,DRG07302,H6012,Cellulitis of left external ear
12670,DRG07302,H6013,"Cellulitis of external ear, bilateral"
12671,DRG07302,H6020,"Malignant otitis externa, unspecified ear"
12672,DRG07302,H6021,"Malignant otitis externa, right ear"
12673,DRG07302,H6022,"Malignant otitis externa, left ear"
12674,DRG07302,H6023,"Malignant otitis externa, bilateral"
12675,DRG07302,H60311,"Diffuse otitis externa, right ear"
12676,DRG07302,H60312,"Diffuse otitis externa, left ear"
12677,DRG07302,H60313,"Diffuse otitis externa, bilateral"
12678,DRG07302,H60319,"Diffuse otitis externa, unspecified ear"
12679,DRG07302,H60321,"Hemorrhagic otitis externa, right ear"
12680,DRG07302,H60322,"Hemorrhagic otitis externa, left ear"
12681,DRG07302,H60323,"Hemorrhagic otitis externa, bilateral"
12682,DRG07302,H60329,"Hemorrhagic otitis externa, unspecified ear"
12683,DRG07302,H60331,"Swimmer's ear, right ear"
12684,DRG07302,H60332,"Swimmer's ear, left ear"
12685,DRG07302,H60333,"Swimmer's ear, bilateral"
12686,DRG07302,H60339,"Swimmer's ear, unspecified ear"
12687,DRG07302,H60391,"Other infective otitis externa, right ear"
12688,DRG07302,H60392,"Other infective otitis externa, left ear"
12689,DRG07302,H60393,"Other infective otitis externa, bilateral"
12690,DRG07302,H60399,"Other infective otitis externa, unspecified ear"
12691,DRG07302,H6040,"Cholesteatoma of external ear, unspecified ear"
12692,DRG07302,H6041,Cholesteatoma of right external ear
12693,DRG07302,H6042,Cholesteatoma of left external ear
12694,DRG07302,H6043,"Cholesteatoma of external ear, bilateral"
12695,DRG07302,H60501,"Unspecified acute noninfective otitis externa, right ear"
12696,DRG07302,H60502,"Unspecified acute noninfective otitis externa, left ear"
12697,DRG07302,H60503,"Unspecified acute noninfective otitis externa, bilateral"
12698,DRG07302,H60509,"Unspecified acute noninfective otitis externa, unspecified ear"
12699,DRG07302,H60511,"Acute actinic otitis externa, right ear"
12700,DRG07302,H60512,"Acute actinic otitis externa, left ear"
12701,DRG07302,H60513,"Acute actinic otitis externa, bilateral"
12702,DRG07302,H60519,"Acute actinic otitis externa, unspecified ear"
12703,DRG07302,H60521,"Acute chemical otitis externa, right ear"
12704,DRG07302,H60522,"Acute chemical otitis externa, left ear"
12705,DRG07302,H60523,"Acute chemical otitis externa, bilateral"
12706,DRG07302,H60529,"Acute chemical otitis externa, unspecified ear"
12707,DRG07302,H60531,"Acute contact otitis externa, right ear"
12708,DRG07302,H60532,"Acute contact otitis externa, left ear"
12709,DRG07302,H60533,"Acute contact otitis externa, bilateral"
12710,DRG07302,H60539,"Acute contact otitis externa, unspecified ear"
12711,DRG07302,H60541,"Acute eczematoid otitis externa, right ear"
12712,DRG07302,H60542,"Acute eczematoid otitis externa, left ear"
12713,DRG07302,H60543,"Acute eczematoid otitis externa, bilateral"
12714,DRG07302,H60549,"Acute eczematoid otitis externa, unspecified ear"
12715,DRG07302,H60551,"Acute reactive otitis externa, right ear"
12716,DRG07302,H60552,"Acute reactive otitis externa, left ear"
12717,DRG07302,H60553,"Acute reactive otitis externa, bilateral"
12718,DRG07302,H60559,"Acute reactive otitis externa, unspecified ear"
12719,DRG07302,H60591,"Other noninfective acute otitis externa, right ear"
12720,DRG07302,H60592,"Other noninfective acute otitis externa, left ear"
12721,DRG07302,H60593,"Other noninfective acute otitis externa, bilateral"
12722,DRG07302,H60599,"Other noninfective acute otitis externa, unspecified ear"
12723,DRG07302,H6060,"Unspecified chronic otitis externa, unspecified ear"
12724,DRG07302,H6061,"Unspecified chronic otitis externa, right ear"
12725,DRG07302,H6062,"Unspecified chronic otitis externa, left ear"
12726,DRG07302,H6063,"Unspecified chronic otitis externa, bilateral"
12727,DRG07302,H608X1,"Other otitis externa, right ear"
12728,DRG07302,H608X2,"Other otitis externa, left ear"
12729,DRG07302,H608X3,"Other otitis externa, bilateral"
12730,DRG07302,H608X9,"Other otitis externa, unspecified ear"
12731,DRG07302,H6090,"Unspecified otitis externa, unspecified ear"
12732,DRG07302,H6091,"Unspecified otitis externa, right ear"
12733,DRG07302,H6092,"Unspecified otitis externa, left ear"
12734,DRG07302,H6093,"Unspecified otitis externa, bilateral"
12735,DRG07302,H61101,"Unspecified noninfective disorders of pinna, right ear"
12736,DRG07302,H61102,"Unspecified noninfective disorders of pinna, left ear"
12737,DRG07302,H61103,"Unspecified noninfective disorders of pinna, bilateral"
12738,DRG07302,H61109,"Unspecified noninfective disorders of pinna, unspecified ear"
12739,DRG07302,H61111,"Acquired deformity of pinna, right ear"
12740,DRG07302,H61112,"Acquired deformity of pinna, left ear"
12741,DRG07302,H61113,"Acquired deformity of pinna, bilateral"
12742,DRG07302,H61119,"Acquired deformity of pinna, unspecified ear"
12743,DRG07302,H61121,"Hematoma of pinna, right ear"
12744,DRG07302,H61122,"Hematoma of pinna, left ear"
12745,DRG07302,H61123,"Hematoma of pinna, bilateral"
12746,DRG07302,H61129,"Hematoma of pinna, unspecified ear"
12747,DRG07302,H61191,"Noninfective disorders of pinna, right ear"
12748,DRG07302,H61192,"Noninfective disorders of pinna, left ear"
12749,DRG07302,H61193,"Noninfective disorders of pinna, bilateral"
12750,DRG07302,H61199,"Noninfective disorders of pinna, unspecified ear"
12751,DRG07302,H6120,"Impacted cerumen, unspecified ear"
12752,DRG07302,H6121,"Impacted cerumen, right ear"
12753,DRG07302,H6122,"Impacted cerumen, left ear"
12754,DRG07302,H6123,"Impacted cerumen, bilateral"
12755,DRG07302,H61301,"Acquired stenosis of right external ear canal, unspecified"
12756,DRG07302,H61302,"Acquired stenosis of left external ear canal, unspecified"
12757,DRG07302,H61303,"Acquired stenosis of external ear canal, unspecified, bilateral"
12758,DRG07302,H61309,"Acquired stenosis of external ear canal, unspecified, unspecified ear"
12759,DRG07302,H61311,Acquired stenosis of right external ear canal secondary to trauma
12760,DRG07302,H61312,Acquired stenosis of left external ear canal secondary to trauma
12761,DRG07302,H61313,"Acquired stenosis of external ear canal secondary to trauma, bilateral"
12762,DRG07302,H61319,"Acquired stenosis of external ear canal secondary to trauma, unspecified ear"
12763,DRG07302,H61321,Acquired stenosis of right external ear canal secondary to inflammation and infection
12764,DRG07302,H61322,Acquired stenosis of left external ear canal secondary to inflammation and infection
12765,DRG07302,H61323,"Acquired stenosis of external ear canal secondary to inflammation and infection, bilateral"
12766,DRG07302,H61329,"Acquired stenosis of external ear canal secondary to inflammation and infection, unspecified ear"
12767,DRG07302,H61391,Other acquired stenosis of right external ear canal
12768,DRG07302,H61392,Other acquired stenosis of left external ear canal
12769,DRG07302,H61393,"Other acquired stenosis of external ear canal, bilateral"
12770,DRG07302,H61399,"Other acquired stenosis of external ear canal, unspecified ear"
