,DRG,CM-PCS,en
1135,DRG03901,085J3ZZ,"Destruction of Right Lens, Percutaneous Approach"
1136,DRG03901,085K3ZZ,"Destruction of Left Lens, Percutaneous Approach"
1137,DRG03901,08BJ3ZZ,"Excision of Right Lens, Percutaneous Approach"
1138,DRG03901,08BK3ZZ,"Excision of Left Lens, Percutaneous Approach"
1139,DRG03901,08DJ3ZZ,"Extraction of Right Lens, Percutaneous Approach"
1140,DRG03901,08DK3ZZ,"Extraction of Left Lens, Percutaneous Approach"
1141,DRG03901,08PJ3JZ,"Removal of Synthetic Substitute from Right Lens, Percutaneous Approach"
1142,DRG03901,08PK3JZ,"Removal of Synthetic Substitute from Left Lens, Percutaneous Approach"
1143,DRG03901,08QJ3ZZ,"Repair Right Lens, Percutaneous Approach"
1144,DRG03901,08QK3ZZ,"Repair Left Lens, Percutaneous Approach"
1145,DRG03901,08RJ30Z,"Replacement of Right Lens with Intraocular Telescope, Percutaneous Approach"
1146,DRG03901,08RJ3JZ,"Replacement of Right Lens with Synthetic Substitute, Percutaneous Approach"
1147,DRG03901,08RK30Z,"Replacement of Left Lens with Intraocular Telescope, Percutaneous Approach"
1148,DRG03901,08RK3JZ,"Replacement of Left Lens with Synthetic Substitute, Percutaneous Approach"
1151,DRG03901,08543ZZ,"Destruction of Right Vitreous, Percutaneous Approach"
1152,DRG03901,08553ZZ,"Destruction of Left Vitreous, Percutaneous Approach"
1153,DRG03901,089230Z,"Drainage of Right Anterior Chamber with Drainage Device, Percutaneous Approach"
1154,DRG03901,08923ZZ,"Drainage of Right Anterior Chamber, Percutaneous Approach"
1155,DRG03901,089330Z,"Drainage of Left Anterior Chamber with Drainage Device, Percutaneous Approach"
1156,DRG03901,08933ZZ,"Drainage of Left Anterior Chamber, Percutaneous Approach"
1157,DRG03901,089430Z,"Drainage of Right Vitreous with Drainage Device, Percutaneous Approach"
1158,DRG03901,08943ZZ,"Drainage of Right Vitreous, Percutaneous Approach"
1159,DRG03901,089530Z,"Drainage of Left Vitreous with Drainage Device, Percutaneous Approach"
1160,DRG03901,08953ZZ,"Drainage of Left Vitreous, Percutaneous Approach"
1161,DRG03901,08B43ZZ,"Excision of Right Vitreous, Percutaneous Approach"
1162,DRG03901,08B53ZZ,"Excision of Left Vitreous, Percutaneous Approach"
1163,DRG03901,08F43ZZ,"Fragmentation in Right Vitreous, Percutaneous Approach"
1164,DRG03901,08F53ZZ,"Fragmentation in Left Vitreous, Percutaneous Approach"
1165,DRG03901,08H005Z,"Insertion of Epiretinal Visual Prosthesis into Right Eye, Open Approach"
1166,DRG03901,08H105Z,"Insertion of Epiretinal Visual Prosthesis into Left Eye, Open Approach"
1167,DRG03901,08Q43ZZ,"Repair Right Vitreous, Percutaneous Approach"
1168,DRG03901,08Q53ZZ,"Repair Left Vitreous, Percutaneous Approach"
1169,DRG03901,08R437Z,"Replacement of Right Vitreous with Autologous Tissue Substitute, Percutaneous Approach"
1170,DRG03901,08R43JZ,"Replacement of Right Vitreous with Synthetic Substitute, Percutaneous Approach"
1171,DRG03901,08R43KZ,"Replacement of Right Vitreous with Nonautologous Tissue Substitute, Percutaneous Approach"
1172,DRG03901,08R537Z,"Replacement of Left Vitreous with Autologous Tissue Substitute, Percutaneous Approach"
1173,DRG03901,08R53JZ,"Replacement of Left Vitreous with Synthetic Substitute, Percutaneous Approach"
1174,DRG03901,08R53KZ,"Replacement of Left Vitreous with Nonautologous Tissue Substitute, Percutaneous Approach"
1175,DRG03901,08T43ZZ,"Resection of Right Vitreous, Percutaneous Approach"
1176,DRG03901,08T53ZZ,"Resection of Left Vitreous, Percutaneous Approach"
1177,DRG03901,3E0C33Z,"Introduction of Anti-inflammatory into Eye, Percutaneous Approach"
1178,DRG03901,3E0C3BZ,"Introduction of Local Anesthetic into Eye, Percutaneous Approach"
1179,DRG03901,3E0C3GC,"Introduction of Other Therapeutic Substance into Eye, Percutaneous Approach"
1180,DRG03901,3E0C3HZ,"Introduction of Radioactive Substance into Eye, Percutaneous Approach"
1181,DRG03901,3E0C3KZ,"Introduction of Other Diagnostic Substance into Eye, Percutaneous Approach"
1182,DRG03901,3E0C3SF,"Introduction of Other Gas into Eye, Percutaneous Approach"
1183,DRG03901,3E0C3TZ,"Introduction of Destructive Agent into Eye, Percutaneous Approach"
