,DRG,CM-PCS,en
6005,DRG00364,0U993ZX,"Drainage of Uterus, Percutaneous Approach, Diagnostic"
6006,DRG00364,0U994ZX,"Drainage of Uterus, Percutaneous Endoscopic Approach, Diagnostic"
6007,DRG00364,0U997ZX,"Drainage of Uterus, Via Natural or Artificial Opening, Diagnostic"
6008,DRG00364,0U998ZX,"Drainage of Uterus, Via Natural or Artificial Opening Endoscopic, Diagnostic"
6009,DRG00364,0U9C0ZX,"Drainage of Cervix, Open Approach, Diagnostic"
6010,DRG00364,0U9C3ZX,"Drainage of Cervix, Percutaneous Approach, Diagnostic"
6011,DRG00364,0U9C4ZX,"Drainage of Cervix, Percutaneous Endoscopic Approach, Diagnostic"
6012,DRG00364,0U9C7ZX,"Drainage of Cervix, Via Natural or Artificial Opening, Diagnostic"
6013,DRG00364,0U9C8ZX,"Drainage of Cervix, Via Natural or Artificial Opening Endoscopic, Diagnostic"
6014,DRG00364,0UB93ZX,"Excision of Uterus, Percutaneous Approach, Diagnostic"
6015,DRG00364,0UB94ZX,"Excision of Uterus, Percutaneous Endoscopic Approach, Diagnostic"
6016,DRG00364,0UB97ZX,"Excision of Uterus, Via Natural or Artificial Opening, Diagnostic"
6017,DRG00364,0UB98ZX,"Excision of Uterus, Via Natural or Artificial Opening Endoscopic, Diagnostic"
6018,DRG00364,0UBC0ZX,"Excision of Cervix, Open Approach, Diagnostic"
6019,DRG00364,0UBC3ZX,"Excision of Cervix, Percutaneous Approach, Diagnostic"
6020,DRG00364,0UBC4ZX,"Excision of Cervix, Percutaneous Endoscopic Approach, Diagnostic"
6021,DRG00364,0UBC7ZX,"Excision of Cervix, Via Natural or Artificial Opening, Diagnostic"
6022,DRG00364,0UBC8ZX,"Excision of Cervix, Via Natural or Artificial Opening Endoscopic, Diagnostic"
6023,DRG00364,0UDB7ZX,"Extraction of Endometrium, Via Natural or Artificial Opening, Diagnostic"
6024,DRG00364,0UDB8ZX,"Extraction of Endometrium, Via Natural or Artificial Opening Endoscopic, Diagnostic"
6025,DRG00364,0UHC01Z,"Insertion of Radioactive Element into Cervix, Open Approach"
6026,DRG00364,0UHC31Z,"Insertion of Radioactive Element into Cervix, Percutaneous Approach"
6027,DRG00364,0UHC41Z,"Insertion of Radioactive Element into Cervix, Percutaneous Endoscopic Approach"
6028,DRG00364,0UHC71Z,"Insertion of Radioactive Element into Cervix, Via Natural or Artificial Opening"
6029,DRG00364,0UHC81Z,"Insertion of Radioactive Element into Cervix, Via Natural or Artificial Opening Endoscopic"
6030,DRG00364,0UHG01Z,"Insertion of Radioactive Element into Vagina, Open Approach"
6031,DRG00364,0UHG31Z,"Insertion of Radioactive Element into Vagina, Percutaneous Approach"
6032,DRG00364,0UHG41Z,"Insertion of Radioactive Element into Vagina, Percutaneous Endoscopic Approach"
6033,DRG00364,0UHG71Z,"Insertion of Radioactive Element into Vagina, Via Natural or Artificial Opening"
6034,DRG00364,0UHG81Z,"Insertion of Radioactive Element into Vagina, Via Natural or Artificial Opening Endoscopic"
6035,DRG00364,0UHGX1Z,"Insertion of Radioactive Element into Vagina, External Approach"
6036,DRG00364,0UJD7ZZ,"Inspection of Uterus and Cervix, Via Natural or Artificial Opening"
6037,DRG00364,0UJD8ZZ,"Inspection of Uterus and Cervix, Via Natural or Artificial Opening Endoscopic"
6038,DRG00364,0UN90ZZ,"Release Uterus, Open Approach"
6039,DRG00364,0UN93ZZ,"Release Uterus, Percutaneous Approach"
6040,DRG00364,0UN94ZZ,"Release Uterus, Percutaneous Endoscopic Approach"
6041,DRG00364,0UN97ZZ,"Release Uterus, Via Natural or Artificial Opening"
6042,DRG00364,0UN98ZZ,"Release Uterus, Via Natural or Artificial Opening Endoscopic"
6043,DRG00364,0WHJ01Z,"Insertion of Radioactive Element into Pelvic Cavity, Open Approach"
6044,DRG00364,0WHJ31Z,"Insertion of Radioactive Element into Pelvic Cavity, Percutaneous Approach"
6045,DRG00364,0WHJ41Z,"Insertion of Radioactive Element into Pelvic Cavity, Percutaneous Endoscopic Approach"
6046,DRG00364,0WHN01Z,"Insertion of Radioactive Element into Female Perineum, Open Approach"
6047,DRG00364,0WHN31Z,"Insertion of Radioactive Element into Female Perineum, Percutaneous Approach"
6048,DRG00364,0WHN41Z,"Insertion of Radioactive Element into Female Perineum, Percutaneous Endoscopic Approach"
6049,DRG00364,0WHR01Z,"Insertion of Radioactive Element into Genitourinary Tract, Open Approach"
6050,DRG00364,0WHR31Z,"Insertion of Radioactive Element into Genitourinary Tract, Percutaneous Approach"
6051,DRG00364,0WHR41Z,"Insertion of Radioactive Element into Genitourinary Tract, Percutaneous Endoscopic Approach"
6052,DRG00364,0WHR71Z,"Insertion of Radioactive Element into Genitourinary Tract, Via Natural or Artificial Opening"
6053,DRG00364,0WHR81Z,"Insertion of Radioactive Element into Genitourinary Tract, Via Natural or Artificial Opening Endoscopic"
