DRG41501	傳染疾病寄生蟲病之手術，有合併症或併發症
DRG41502	傳染疾病寄生蟲病之手術，無合併症或併發症
DRG41603	敗血症併多重器官衰竭，年齡大於等於18歲
DRG41703	敗血症併多重器官衰竭，年齡0-17歲
DRG41601	敗血症，無多重器官衰竭，年齡大於等於18歲，有合併症或併發症
DRG41602	敗血症，無多重器官衰竭，年齡大於等於18歲，無合併症或併發症
DRG41701	敗血症，無多重器官衰竭，年齡0-17歲，有合併症或併發症
DRG41702	敗血症，無多重器官衰竭，年齡0-17歲，無合併症或併發症
DRG41803	手術後感染，有合併症或併發症
DRG41804	手術後感染，無合併症或併發症
DRG419	不明熱，年齡大於等於18歲，有合併症或併發症
DRG420	不明熱，年齡大於等於18歲，無合併症或併發症
DRG42101	病毒性病症，年齡大於等於18歲，有合併症或併發症
DRG42102	病毒性病症，年齡大於等於18歲，無合併症或併發症
DRG42201	病毒性病症及不明熱，年齡0~17歲，有合併症或併發症
DRG42202	病毒性病症及不明熱，年齡0~17歲，無合併症或併發症
DRG42301	其他傳染疾病寄生蟲病之診斷(1)，有合併症或併發症
DRG42302	其他傳染疾病寄生蟲病之診斷(1)，無合併症或併發症
DRG42305	細菌感染併多重器官衰竭
DRG42303	細菌感染，無多重器官衰竭，有合併症或併發症
DRG42306	細菌感染，無多重器官衰竭，無合併症或併發症
DRG42307	其他傳染疾病寄生蟲病併多重器官衰竭
DRG42304	其他傳染疾病寄生蟲病，無多重器官衰竭，有合併症或併發症
DRG42308	其他傳染疾病寄生蟲病，無多重器官衰竭，無合併症或併發症
