DRG,CM-PCS,en
DRG38102,O021,Missed abortion
DRG38102,O030,Genital tract and pelvic infection following incomplete spontaneous abortion
DRG38102,O031,Delayed or excessive hemorrhage following incomplete spontaneous abortion
DRG38102,O032,Embolism following incomplete spontaneous abortion
DRG38102,O0330,Unspecified complication following incomplete spontaneous abortion
DRG38102,O0331,Shock following incomplete spontaneous abortion
DRG38102,O0332,Renal failure following incomplete spontaneous abortion
DRG38102,O0333,Metabolic disorder following incomplete spontaneous abortion
DRG38102,O0334,Damage to pelvic organs following incomplete spontaneous abortion
DRG38102,O0335,Other venous complications following incomplete spontaneous abortion
DRG38102,O0336,Cardiac arrest following incomplete spontaneous abortion
DRG38102,O0337,Sepsis following incomplete spontaneous abortion
DRG38102,O0338,Urinary tract infection following incomplete spontaneous abortion
DRG38102,O0339,Incomplete spontaneous abortion with other complications
DRG38102,O034,Incomplete spontaneous abortion without complication
DRG38102,O035,Genital tract and pelvic infection following complete or unspecified spontaneous abortion
DRG38102,O036,Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion
DRG38102,O037,Embolism following complete or unspecified spontaneous abortion
DRG38102,O0380,Unspecified complication following complete or unspecified spontaneous abortion
DRG38102,O0381,Shock following complete or unspecified spontaneous abortion
DRG38102,O0382,Renal failure following complete or unspecified spontaneous abortion
DRG38102,O0383,Metabolic disorder following complete or unspecified spontaneous abortion
DRG38102,O0384,Damage to pelvic organs following complete or unspecified spontaneous abortion
DRG38102,O0385,Other venous complications following complete or unspecified spontaneous abortion
DRG38102,O0386,Cardiac arrest following complete or unspecified spontaneous abortion
DRG38102,O0387,Sepsis following complete or unspecified spontaneous abortion
DRG38102,O0388,Urinary tract infection following complete or unspecified spontaneous abortion
DRG38102,O0389,Complete or unspecified spontaneous abortion with other complications
DRG38102,O039,Complete or unspecified spontaneous abortion without complication
DRG38102,O045,Genital tract and pelvic infection following (induced) termination of pregnancy
DRG38102,O046,Delayed or excessive hemorrhage following (induced) termination of pregnancy
DRG38102,O047,Embolism following (induced) termination of pregnancy
DRG38102,O0480,(Induced) termination of pregnancy with unspecified complications
DRG38102,O0481,Shock following (induced) termination of pregnancy
DRG38102,O0482,Renal failure following (induced) termination of pregnancy
DRG38102,O0483,Metabolic disorder following (induced) termination of pregnancy
DRG38102,O0484,Damage to pelvic organs following (induced) termination of pregnancy
DRG38102,O0485,Other venous complications following (induced) termination of pregnancy
DRG38102,O0486,Cardiac arrest following (induced) termination of pregnancy
DRG38102,O0487,Sepsis following (induced) termination of pregnancy
DRG38102,O0488,Urinary tract infection following (induced) termination of pregnancy
DRG38102,O0489,(Induced) termination of pregnancy with other complications
DRG38102,O070,Genital tract and pelvic infection following failed attempted termination of pregnancy
DRG38102,O071,Delayed or excessive hemorrhage following failed attempted termination of pregnancy
DRG38102,O072,Embolism following failed attempted termination of pregnancy
DRG38102,O0730,Failed attempted termination of pregnancy with unspecified complications
DRG38102,O0731,Shock following failed attempted termination of pregnancy
DRG38102,O0732,Renal failure following failed attempted termination of pregnancy
DRG38102,O0733,Metabolic disorder following failed attempted termination of pregnancy
DRG38102,O0734,Damage to pelvic organs following failed attempted termination of pregnancy
DRG38102,O0735,Other venous complications following failed attempted termination of pregnancy
DRG38102,O0736,Cardiac arrest following failed attempted termination of pregnancy
DRG38102,O0737,Sepsis following failed attempted termination of pregnancy
DRG38102,O0738,Urinary tract infection following failed attempted termination of pregnancy
DRG38102,O0739,Failed attempted termination of pregnancy with other complications
DRG38102,O074,Failed attempted termination of pregnancy without complication
DRG38102,Z332,Encounter for elective termination of pregnancy
DRG38102,0UDB7ZX,"Extraction of Endometrium, Via Natural or Artificial Opening, Diagnostic"
DRG38102,0UDB7ZZ,"Extraction of Endometrium, Via Natural or Artificial Opening"
DRG38102,0UDB8ZX,"Extraction of Endometrium, Via Natural or Artificial Opening Endoscopic, Diagnostic"
DRG38102,0UDB8ZZ,"Extraction of Endometrium, Via Natural or Artificial Opening Endoscopic"
DRG38102,10A00ZZ,"Abortion of Products of Conception, Open Approach"
DRG38102,10A03ZZ,"Abortion of Products of Conception, Percutaneous Approach"
DRG38102,10A04ZZ,"Abortion of Products of Conception, Percutaneous Endoscopic Approach"
DRG38102,10A07ZZ,"Abortion of Products of Conception, Via Natural or Artificial Opening"
DRG38102,10A08ZZ,"Abortion of Products of Conception, Via Natural or Artificial Opening Endoscopic"
DRG38102,10D17ZZ,"Extraction of Products of Conception, Retained, Via Natural or Artificial Opening"
DRG38102,10D18ZZ,"Extraction of Products of Conception, Retained, Via Natural or Artificial Opening Endoscopic"
