,DRG,CM-PCS,en
25140,DRG10508,02H40KZ,"Insertion of Defibrillator Lead into Coronary Vein, Open Approach"
25141,DRG10508,02H43KZ,"Insertion of Defibrillator Lead into Coronary Vein, Percutaneous Approach"
25142,DRG10508,02H44KZ,"Insertion of Defibrillator Lead into Coronary Vein, Percutaneous Endoscopic Approach"
25143,DRG10508,02H60KZ,"Insertion of Defibrillator Lead into Right Atrium, Open Approach"
25144,DRG10508,02H63KZ,"Insertion of Defibrillator Lead into Right Atrium, Percutaneous Approach"
25145,DRG10508,02H64KZ,"Insertion of Defibrillator Lead into Right Atrium, Percutaneous Endoscopic Approach"
25146,DRG10508,02H70KZ,"Insertion of Defibrillator Lead into Left Atrium, Open Approach"
25147,DRG10508,02H73KZ,"Insertion of Defibrillator Lead into Left Atrium, Percutaneous Approach"
25148,DRG10508,02H74KZ,"Insertion of Defibrillator Lead into Left Atrium, Percutaneous Endoscopic Approach"
25149,DRG10508,02HK0KZ,"Insertion of Defibrillator Lead into Right Ventricle, Open Approach"
25150,DRG10508,02HK3KZ,"Insertion of Defibrillator Lead into Right Ventricle, Percutaneous Approach"
25151,DRG10508,02HK4KZ,"Insertion of Defibrillator Lead into Right Ventricle, Percutaneous Endoscopic Approach"
25152,DRG10508,02HL0KZ,"Insertion of Defibrillator Lead into Left Ventricle, Open Approach"
25153,DRG10508,02HL3KZ,"Insertion of Defibrillator Lead into Left Ventricle, Percutaneous Approach"
25154,DRG10508,02HL4KZ,"Insertion of Defibrillator Lead into Left Ventricle, Percutaneous Endoscopic Approach"
25155,DRG10508,02HN0KZ,"Insertion of Defibrillator Lead into Pericardium, Open Approach"
25156,DRG10508,02HN3KZ,"Insertion of Defibrillator Lead into Pericardium, Percutaneous Approach"
25157,DRG10508,02HN4KZ,"Insertion of Defibrillator Lead into Pericardium, Percutaneous Endoscopic Approach"
25160,DRG10508,0JH608Z,"Insertion of Defibrillator Generator into Chest Subcutaneous Tissue and Fascia, Open Approach"
25161,DRG10508,0JH638Z,"Insertion of Defibrillator Generator into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach"
25162,DRG10508,0JH808Z,"Insertion of Defibrillator Generator into Abdomen Subcutaneous Tissue and Fascia, Open Approach"
25163,DRG10508,0JH838Z,"Insertion of Defibrillator Generator into Abdomen Subcutaneous Tissue and Fascia, Percutaneous Approach"
