,DRG,CM-PCS,en
11,N0101,5A09357,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Continuous Positive Airway Pressure"
12,N0101,5A09358,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Intermittent Positive Airway Pressure"
13,N0101,5A09359,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Continuous Negative Airway Pressure"
14,N0101,5A0935B,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Intermittent Negative Airway Pressure"
15,N0101,5A0935Z,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours"
16,N0101,5A09457,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Continuous Positive Airway Pressure"
17,N0101,5A09458,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Intermittent Positive Airway Pressure"
18,N0101,5A09459,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Continuous Negative Airway Pressure"
19,N0101,5A0945B,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Intermittent Negative Airway Pressure"
20,N0101,5A0945Z,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours"
21,N0101,5A09557,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Continuous Positive Airway Pressure"
22,N0101,5A09558,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Intermittent Positive Airway Pressure"
23,N0101,5A09559,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Continuous Negative Airway Pressure"
24,N0101,5A0955B,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Intermittent Negative Airway Pressure"
25,N0101,5A0955Z,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours"
26,N0101,5A1935Z,"Respiratory Ventilation, Less than 24 Consecutive Hours"
27,N0101,5A1945Z,"Respiratory Ventilation, 24-96 Consecutive Hours"
28,N0101,5A1955Z,"Respiratory Ventilation, Greater than 96 Consecutive Hours"
