DRG,CM-PCS,en
DRG00124,I2101,ST elevation (STEMI) myocardial infarction involving left main coronary artery
DRG00124,I2102,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery
DRG00124,I2109,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall
DRG00124,I2111,ST elevation (STEMI) myocardial infarction involving right coronary artery
DRG00124,I2119,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall
DRG00124,I2121,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery
DRG00124,I2129,ST elevation (STEMI) myocardial infarction involving other sites
DRG00124,I213,ST elevation (STEMI) myocardial infarction of unspecified site
DRG00124,I214,Non-ST elevation (NSTEMI) myocardial infarction
DRG00124,I220,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall
DRG00124,I221,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall
DRG00124,I222,Subsequent non-ST elevation (NSTEMI) myocardial infarction
DRG00124,I228,Subsequent ST elevation (STEMI) myocardial infarction of other sites
DRG00124,I229,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site
DRG00124,I0981,Rheumatic heart failure
DRG00124,I110,Hypertensive heart disease with heart failure
DRG00124,I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
DRG00124,I132,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease"
DRG00124,I200,Unstable angina
DRG00124,I230,Hemopericardium as current complication following acute myocardial infarction
DRG00124,I231,Atrial septal defect as current complication following acute myocardial infarction
DRG00124,I232,Ventricular septal defect as current complication following acute myocardial infarction
DRG00124,I233,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction
DRG00124,I234,Rupture of chordae tendineae as current complication following acute myocardial infarction
DRG00124,I235,Rupture of papillary muscle as current complication following acute myocardial infarction
DRG00124,I236,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
DRG00124,I237,Postinfarction angina
DRG00124,I238,Other current complications following acute myocardial infarction
DRG00124,I240,Acute coronary thrombosis not resulting in myocardial infarction
DRG00124,I241,Dressler's syndrome
DRG00124,I248,Other forms of acute ischemic heart disease
