,DRG,CM-PCS,en
209,N11,P0508,"Newborn light for gestational age, 2000-2499 grams"
210,N11,P0518,"Newborn small for gestational age, 2000-2499 grams"
211,N11,P0718,"Other low birth weight newborn, 2000-2499 grams"
217,N11,0W9G30Z,"Drainage of Peritoneal Cavity with Drainage Device, Percutaneous Approach"
218,N11,0W9G3ZX,"Drainage of Peritoneal Cavity, Percutaneous Approach, Diagnostic"
219,N11,0W9G3ZZ,"Drainage of Peritoneal Cavity, Percutaneous Approach"
220,N11,0W9G40Z,"Drainage of Peritoneal Cavity with Drainage Device, Percutaneous Endoscopic Approach"
221,N11,0W9G4ZZ,"Drainage of Peritoneal Cavity, Percutaneous Endoscopic Approach"
222,N11,30233H1,"Transfusion of Nonautologous Whole Blood into Peripheral Vein, Percutaneous Approach"
223,N11,30243H1,"Transfusion of Nonautologous Whole Blood into Central Vein, Percutaneous Approach"
224,N11,30253H1,"Transfusion of Nonautologous Whole Blood into Peripheral Artery, Percutaneous Approach"
225,N11,30263H1,"Transfusion of Nonautologous Whole Blood into Central Artery, Percutaneous Approach"
226,N11,30233J1,"Transfusion of Nonautologous Serum Albumin into Peripheral Vein, Percutaneous Approach"
227,N11,30243J1,"Transfusion of Nonautologous Serum Albumin into Central Vein, Percutaneous Approach"
228,N11,30253J1,"Transfusion of Nonautologous Serum Albumin into Peripheral Artery, Percutaneous Approach"
229,N11,30263J1,"Transfusion of Nonautologous Serum Albumin into Central Artery, Percutaneous Approach"
230,N11,30233K1,"Transfusion of Nonautologous Frozen Plasma into Peripheral Vein, Percutaneous Approach"
231,N11,30243K1,"Transfusion of Nonautologous Frozen Plasma into Central Vein, Percutaneous Approach"
232,N11,30253K1,"Transfusion of Nonautologous Frozen Plasma into Peripheral Artery, Percutaneous Approach"
233,N11,30263K1,"Transfusion of Nonautologous Frozen Plasma into Central Artery, Percutaneous Approach"
234,N11,30233L1,"Transfusion of Nonautologous Fresh Plasma into Peripheral Vein, Percutaneous Approach"
235,N11,30243L1,"Transfusion of Nonautologous Fresh Plasma into Central Vein, Percutaneous Approach"
236,N11,30253L1,"Transfusion of Nonautologous Fresh Plasma into Peripheral Artery, Percutaneous Approach"
237,N11,30263L1,"Transfusion of Nonautologous Fresh Plasma into Central Artery, Percutaneous Approach"
238,N11,3E1M39Z,"Irrigation of Peritoneal Cavity using Dialysate, Percutaneous Approach"
239,N11,5A09357,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Continuous Positive Airway Pressure"
240,N11,5A09358,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Intermittent Positive Airway Pressure"
241,N11,5A09359,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Continuous Negative Airway Pressure"
242,N11,5A0935B,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Intermittent Negative Airway Pressure"
243,N11,5A0935Z,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours"
244,N11,5A09457,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Continuous Positive Airway Pressure"
245,N11,5A09458,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Intermittent Positive Airway Pressure"
246,N11,5A09459,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Continuous Negative Airway Pressure"
247,N11,5A0945B,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Intermittent Negative Airway Pressure"
248,N11,5A0945Z,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours"
249,N11,5A09557,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Continuous Positive Airway Pressure"
250,N11,5A09558,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Intermittent Positive Airway Pressure"
251,N11,5A09559,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Continuous Negative Airway Pressure"
252,N11,5A0955B,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Intermittent Negative Airway Pressure"
253,N11,5A0955Z,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours"
254,N11,5A1935Z,"Respiratory Ventilation, Less than 24 Consecutive Hours"
255,N11,5A1945Z,"Respiratory Ventilation, 24-96 Consecutive Hours"
256,N11,5A1955Z,"Respiratory Ventilation, Greater than 96 Consecutive Hours"
