DRGN0101	新生兒出生>=28天，主或次診斷有MAJOR PROBLEM或有使用呼吸器或有手術
DRGN0102	新生兒出生>=28天，主或次診斷有MINOR PROBLEM
DRGN0103	新生兒出生>=28天，其他
DRGN03	出生<=27天，出生體重<1000公克，且出院時存活
DRGN05	出生<=27天，出生體重介於1000-1499公克，主或次診斷有MAJOR PROBLEM或有使用呼吸器或特定處置
DRGN06	出生<=27天，出生體重介於1000-1499公克
DRGN07	出生<=27天，出生體重介於1500-1999公克，主或次診斷有多重MAJOR PROBLEM或有使用呼吸器或特定處置
DRGN08	出生<=27天，出生體重介於1500-1999公克，主或次診斷有MAJOR PROBLEM
DRGN09	出生<=27天，出生體重介於1500-1999公克，主或次診斷有MINOR PROBLEM
DRGN10	出生<=27天，出生體重介於1500-1999公克
DRGN11	出生<=27天，出生體重介於2000-2499公克，主或次診斷有多重MAJOR PROBLEM或有使用呼吸器或特定處置
DRGN12	出生<=27天，出生體重介於2000-2499公克，主或次診斷有MAJOR PROBLEM
DRGN13	出生<=27天，出生體重介於2000-2499公克，主或次診斷有或無MINOR PROBLEM
DRGN14	出生<=27天，出生體重>2499公克，主或次診斷有多重MAJOR PROBLEM，有手術
DRGN1501	出生<=27天，出生體重>2499公克，主或次診斷有MAJOR PROBLEM，有手術
DRGN1502	出生<=27天，出生體重>2499公克，主或次診斷有或無MINOR PROBLEM，有手術
DRGN16	出生<=27天，出生體重>2499公克，主或次診斷有多重MAJOR PROBLEM或有使用呼吸器或特定處置
DRGN17	出生<=27天，出生體重>2499公克，主或次診斷有MAJOR PROBLEM
DRGN18	出生<=27天，出生體重>2499公克，主或次診斷有MINOR PROBLEM
DRGN19	出生<=27天，出生體重>2499公克
