,DRG,CM-PCS,en
2209,DRG39802,D150,Benign neoplasm of thymus
2210,DRG39802,D181,"Lymphangioma, any site"
2211,DRG39802,D360,Benign neoplasm of lymph nodes
2212,DRG39802,D3A091,Benign carcinoid tumor of the thymus
2213,DRG39802,D472,Monoclonal gammopathy
2214,DRG39802,D751,Secondary polycythemia
2215,DRG39802,D890,Polyclonal hypergammaglobulinemia
2216,DRG39802,D892,"Hypergammaglobulinemia, unspecified"
2217,DRG39802,E320,Persistent hyperplasia of thymus
2218,DRG39802,E321,Abscess of thymus
2219,DRG39802,E328,Other diseases of thymus
2220,DRG39802,E329,"Disease of thymus, unspecified"
