,DRG,CM-PCS,en
47903,DRG01605,G9340,"Encephalopathy, unspecified"
47904,DRG01605,G9341,Metabolic encephalopathy
47905,DRG01605,G9349,Other encephalopathy
47906,DRG01605,G9381,Temporal sclerosis
47907,DRG01605,G9382,Brain death
47908,DRG01605,G9389,Other specified disorders of brain
47909,DRG01605,G939,"Disorder of brain, unspecified"
47910,DRG01605,G968,Other specified disorders of central nervous system
47911,DRG01605,G969,"Disorder of central nervous system, unspecified"
47912,DRG01605,G980,"Neurogenic arthritis, not elsewhere classified"
47913,DRG01605,G988,Other disorders of nervous system
47914,DRG01605,I6783,Posterior reversible encephalopathy syndrome
