,DRG,CM-PCS,en
49752,DRG02302,E035,Myxedema coma
49753,DRG02302,G935,Compression of brain
49754,DRG02302,G936,Cerebral edema
49755,DRG02302,R400,Somnolence
49756,DRG02302,R401,Stupor
49757,DRG02302,R4020,Unspecified coma
49758,DRG02302,R402110,"Coma scale, eyes open, never, unspecified time"
49759,DRG02302,R402111,"Coma scale, eyes open, never, in the field [EMT or ambulance]"
49760,DRG02302,R402112,"Coma scale, eyes open, never, at arrival to emergency department"
49761,DRG02302,R402113,"Coma scale, eyes open, never, at hospital admission"
49762,DRG02302,R402114,"Coma scale, eyes open, never, 24 hours or more after hospital admission"
49763,DRG02302,R402120,"Coma scale, eyes open, to pain, unspecified time"
49764,DRG02302,R402121,"Coma scale, eyes open, to pain, in the field [EMT or ambulance]"
49765,DRG02302,R402122,"Coma scale, eyes open, to pain, at arrival to emergency department"
49766,DRG02302,R402123,"Coma scale, eyes open, to pain, at hospital admission"
49767,DRG02302,R402124,"Coma scale, eyes open, to pain, 24 hours or more after hospital admission"
49768,DRG02302,R402130,"Coma scale, eyes open, to sound"
49769,DRG02302,R402131,"Coma scale, eyes open, to sound"
49770,DRG02302,R402132,"Coma scale, eyes open, to sound"
49771,DRG02302,R402133,"Coma scale, eyes open, to sound"
49772,DRG02302,R402134,"Coma scale, eyes open, to sound"
49773,DRG02302,R402140,"Coma scale, eyes open, spontaneous"
49774,DRG02302,R402141,"Coma scale, eyes open, spontaneous"
49775,DRG02302,R402143,"Coma scale, eyes open, spontaneous"
49776,DRG02302,R402144,"Coma scale, eyes open, spontaneous"
49777,DRG02302,R402210,"Coma scale, best verbal response, none, unspecified time"
49778,DRG02302,R402211,"Coma scale, best verbal response, none, in the field [EMT or ambulance]"
49779,DRG02302,R402212,"Coma scale, best verbal response, none, at arrival to emergency department"
49780,DRG02302,R402213,"Coma scale, best verbal response, none, at hospital admission"
49781,DRG02302,R402214,"Coma scale, best verbal response, none, 24 hours or more after hospital admission"
49782,DRG02302,R402220,"Coma scale, best verbal response, incomprehensible words, unspecified time"
49783,DRG02302,R402221,"Coma scale, best verbal response, incomprehensible words, in the field [EMT or ambulance]"
49784,DRG02302,R402222,"Coma scale, best verbal response, incomprehensible words, at arrival to emergency department"
49785,DRG02302,R402223,"Coma scale, best verbal response, incomprehensible words, at hospital admission"
49786,DRG02302,R402224,"Coma scale, best verbal response, incomprehensible words, 24 hours or more after hospital admission"
49787,DRG02302,R402230,"Coma scale, best verbal response, inappropriate words"
49788,DRG02302,R402231,"Coma scale, best verbal response, inappropriate words"
49789,DRG02302,R402232,"Coma scale, best verbal response, inappropriate words"
49790,DRG02302,R402233,"Coma scale, best verbal response, inappropriate words"
49791,DRG02302,R402234,"Coma scale, best verbal response, inappropriate words"
49792,DRG02302,R402142,"Coma scale, eyes open, spontaneous, at arrival to emergency department"
49793,DRG02302,R402240,"Coma scale, best verbal response, confused conversation"
49794,DRG02302,R402241,"Coma scale, best verbal response, confused conversation"
49795,DRG02302,R402242,"Coma scale, best verbal response, confused conversation"
49796,DRG02302,R402243,"Coma scale, best verbal response, confused conversation"
49797,DRG02302,R402244,"Coma scale, best verbal response, confused conversation"
49798,DRG02302,R402250,"Coma scale, best verbal response, oriented"
49799,DRG02302,R402251,"Coma scale, best verbal response, oriented"
49800,DRG02302,R402252,"Coma scale, best verbal response, oriented, at arrival to emergency department"
49801,DRG02302,R402253,"Coma scale, best verbal response, oriented"
49802,DRG02302,R402254,"Coma scale, best verbal response, oriented"
49803,DRG02302,R402362,"Coma scale, best motor response, obeys commands, at arrival to emergency department"
49804,DRG02302,R402310,"Coma scale, best motor response, none, unspecified time"
49805,DRG02302,R402311,"Coma scale, best motor response, none, in the field [EMT or ambulance]"
49806,DRG02302,R402312,"Coma scale, best motor response, none, at arrival to emergency department"
49807,DRG02302,R402313,"Coma scale, best motor response, none, at hospital admission"
49808,DRG02302,R402314,"Coma scale, best motor response, none, 24 hours or more after hospital admission"
49809,DRG02302,R402320,"Coma scale, best motor response, extension, unspecified time"
49810,DRG02302,R402321,"Coma scale, best motor response, extension, in the field [EMT or ambulance]"
49811,DRG02302,R402322,"Coma scale, best motor response, extension, at arrival to emergency department"
49812,DRG02302,R402323,"Coma scale, best motor response, extension, at hospital admission"
49813,DRG02302,R402324,"Coma scale, best motor response, extension, 24 hours or more after hospital admission"
49814,DRG02302,R402330,"Coma scale, best motor response, abnormal"
49815,DRG02302,R402331,"Coma scale, best motor response, abnormal"
49816,DRG02302,R402332,"Coma scale, best motor response, abnormal"
49817,DRG02302,R402333,"Coma scale, best motor response, abnormal"
49818,DRG02302,R402334,"Coma scale, best motor response, abnormal"
49819,DRG02302,R402340,"Coma scale, best motor response, flexion withdrawal, unspecified time"
49820,DRG02302,R402341,"Coma scale, best motor response, flexion withdrawal, in the field [EMT or ambulance]"
49821,DRG02302,R402342,"Coma scale, best motor response, flexion withdrawal, at arrival to emergency department"
49822,DRG02302,R402343,"Coma scale, best motor response, flexion withdrawal, at hospital admission"
49823,DRG02302,R402344,"Coma scale, best motor response, flexion withdrawal, 24 hours or more after hospital admission"
49824,DRG02302,R402350,"Coma scale, best motor response, localizes pain"
49825,DRG02302,R402351,"Coma scale, best motor response, localizes pain"
49826,DRG02302,R402352,"Coma scale, best motor response, localizes pain"
49827,DRG02302,R402353,"Coma scale, best motor response, localizes pain"
49828,DRG02302,R402354,"Coma scale, best motor response, localizes pain"
49829,DRG02302,R402360,"Coma scale, best motor response, obeys commands"
49830,DRG02302,R402361,"Coma scale, best motor response, obeys commands"
49831,DRG02302,R402363,"Coma scale, best motor response, obeys commands"
49832,DRG02302,R402364,"Coma scale, best motor response, obeys commands"
49833,DRG02302,R40241,Glasgow coma scale score 13-15
49834,DRG02302,R40242,Glasgow coma scale score 9-12
49835,DRG02302,R40243,Glasgow coma scale score 3-8
49836,DRG02302,R40244,"Other coma, without documented Glasgow coma scale score, or with partial score reported"
49837,DRG02302,R403,Persistent vegetative state
49838,DRG02302,R404,Transient alteration of awareness
49841,DRG02302,F000001,Physical Therapy
49842,DRG02302,F000002,Occupational Therapy
49843,DRG02302,F000003,Communication Therapy
