,DRG,CM-PCS,en
51656,DRG03502,A5219,Other symptomatic neurosyphilis
51657,DRG03502,A881,Epidemic vertigo
51658,DRG03502,B900,Sequelae of central nervous system tuberculosis
51659,DRG03502,B91,Sequelae of poliomyelitis
51660,DRG03502,B941,Sequelae of viral encephalitis
51661,DRG03502,D1802,Hemangioma of intracranial structures
51662,DRG03502,F950,Transient tic disorder
51663,DRG03502,F951,Chronic motor or vocal tic disorder
51664,DRG03502,F952,Tourette's disorder
51665,DRG03502,F958,Other tic disorders
51666,DRG03502,F959,"Tic disorder, unspecified"
51667,DRG03502,G038,Meningitis due to other specified causes
51668,DRG03502,G08,Intracranial and intraspinal phlebitis and thrombophlebitis
51669,DRG03502,G09,Sequelae of inflammatory diseases of central nervous system
51670,DRG03502,G14,Postpolio syndrome
51671,DRG03502,G210,Malignant neuroleptic syndrome
51672,DRG03502,G2401,Drug induced subacute dyskinesia
51673,DRG03502,G243,Spasmodic torticollis
51674,DRG03502,G244,Idiopathic orofacial dystonia
51675,DRG03502,G249,"Dystonia, unspecified"
51676,DRG03502,G250,Essential tremor
51677,DRG03502,G251,Drug-induced tremor
51678,DRG03502,G252,Other specified forms of tremor
51679,DRG03502,G253,Myoclonus
51680,DRG03502,G2561,Drug induced tics
51681,DRG03502,G2569,Other tics of organic origin
51682,DRG03502,G2582,Stiff-man syndrome
51683,DRG03502,G2583,Benign shuddering attacks
51684,DRG03502,G4700,"Insomnia, unspecified"
51685,DRG03502,G4701,Insomnia due to medical condition
51686,DRG03502,G4709,Other insomnia
51687,DRG03502,G4710,"Hypersomnia, unspecified"
51688,DRG03502,G4711,Idiopathic hypersomnia with long sleep time
51689,DRG03502,G4712,Idiopathic hypersomnia without long sleep time
51690,DRG03502,G4713,Recurrent hypersomnia
51691,DRG03502,G4714,Hypersomnia due to medical condition
51692,DRG03502,G4719,Other hypersomnia
51693,DRG03502,G4720,"Circadian rhythm sleep disorder, unspecified type"
51694,DRG03502,G4730,"Sleep apnea, unspecified"
51695,DRG03502,G4731,Primary central sleep apnea
51696,DRG03502,G4732,High altitude periodic breathing
51697,DRG03502,G4733,Obstructive sleep apnea (adult) (pediatric)
51698,DRG03502,G4734,Idiopathic sleep related nonobstructive alveolar hypoventilation
51699,DRG03502,G4735,Congenital central alveolar hypoventilation syndrome
51700,DRG03502,G4739,Other sleep apnea
51701,DRG03502,G47411,Narcolepsy with cataplexy
51702,DRG03502,G47419,Narcolepsy without cataplexy
51703,DRG03502,G4752,REM sleep behavior disorder
51704,DRG03502,G478,Other sleep disorders
51705,DRG03502,G601,Refsum's disease
51706,DRG03502,G652,Sequelae of toxic polyneuropathy
51707,DRG03502,G710,Muscular dystrophy
51708,DRG03502,G7111,Myotonic muscular dystrophy
51709,DRG03502,G7112,Myotonia congenita
