,DRG,CM-PCS,en
19536,DRG21914,0M5Q0ZZ,"Destruction of Right Ankle Bursa and Ligament, Open Approach"
19537,DRG21914,0M5Q3ZZ,"Destruction of Right Ankle Bursa and Ligament, Percutaneous Approach"
19538,DRG21914,0M5Q4ZZ,"Destruction of Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
19539,DRG21914,0M5R0ZZ,"Destruction of Left Ankle Bursa and Ligament, Open Approach"
19540,DRG21914,0M5R3ZZ,"Destruction of Left Ankle Bursa and Ligament, Percutaneous Approach"
19541,DRG21914,0M5R4ZZ,"Destruction of Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
19542,DRG21914,0M8Q0ZZ,"Division of Right Ankle Bursa and Ligament, Open Approach"
19543,DRG21914,0M8Q3ZZ,"Division of Right Ankle Bursa and Ligament, Percutaneous Approach"
19544,DRG21914,0M8Q4ZZ,"Division of Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
19545,DRG21914,0M8R0ZZ,"Division of Left Ankle Bursa and Ligament, Open Approach"
19546,DRG21914,0M8R3ZZ,"Division of Left Ankle Bursa and Ligament, Percutaneous Approach"
19547,DRG21914,0M8R4ZZ,"Division of Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
19548,DRG21914,0MBQ0ZZ,"Excision of Right Ankle Bursa and Ligament, Open Approach"
19549,DRG21914,0MBQ3ZZ,"Excision of Right Ankle Bursa and Ligament, Percutaneous Approach"
19550,DRG21914,0MBQ4ZZ,"Excision of Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
19551,DRG21914,0MBR0ZZ,"Excision of Left Ankle Bursa and Ligament, Open Approach"
19552,DRG21914,0MBR3ZZ,"Excision of Left Ankle Bursa and Ligament, Percutaneous Approach"
19553,DRG21914,0MBR4ZZ,"Excision of Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
19554,DRG21914,0MNQ0ZZ,"Release Right Ankle Bursa and Ligament, Open Approach"
19555,DRG21914,0MNQ3ZZ,"Release Right Ankle Bursa and Ligament, Percutaneous Approach"
19556,DRG21914,0MNQ4ZZ,"Release Right Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
19557,DRG21914,0MNQXZZ,"Release Right Ankle Bursa and Ligament, External Approach"
19558,DRG21914,0MNR0ZZ,"Release Left Ankle Bursa and Ligament, Open Approach"
19559,DRG21914,0MNR3ZZ,"Release Left Ankle Bursa and Ligament, Percutaneous Approach"
19560,DRG21914,0MNR4ZZ,"Release Left Ankle Bursa and Ligament, Percutaneous Endoscopic Approach"
19561,DRG21914,0MNRXZZ,"Release Left Ankle Bursa and Ligament, External Approach"
19562,DRG21914,0P8C0ZZ,"Division of Right Humeral Head, Open Approach"
19563,DRG21914,0P8C3ZZ,"Division of Right Humeral Head, Percutaneous Approach"
19564,DRG21914,0P8C4ZZ,"Division of Right Humeral Head, Percutaneous Endoscopic Approach"
19565,DRG21914,0P8D0ZZ,"Division of Left Humeral Head, Open Approach"
19566,DRG21914,0P8D3ZZ,"Division of Left Humeral Head, Percutaneous Approach"
19567,DRG21914,0P8D4ZZ,"Division of Left Humeral Head, Percutaneous Endoscopic Approach"
19568,DRG21914,0P8F0ZZ,"Division of Right Humeral Shaft, Open Approach"
19569,DRG21914,0P8F3ZZ,"Division of Right Humeral Shaft, Percutaneous Approach"
19570,DRG21914,0P8F4ZZ,"Division of Right Humeral Shaft, Percutaneous Endoscopic Approach"
19571,DRG21914,0P8G0ZZ,"Division of Left Humeral Shaft, Open Approach"
19572,DRG21914,0P8G3ZZ,"Division of Left Humeral Shaft, Percutaneous Approach"
19573,DRG21914,0P8G4ZZ,"Division of Left Humeral Shaft, Percutaneous Endoscopic Approach"
19574,DRG21914,0PBC0ZZ,"Excision of Right Humeral Head, Open Approach"
19575,DRG21914,0PBC3ZZ,"Excision of Right Humeral Head, Percutaneous Approach"
19576,DRG21914,0PBC4ZZ,"Excision of Right Humeral Head, Percutaneous Endoscopic Approach"
19577,DRG21914,0PBD0ZZ,"Excision of Left Humeral Head, Open Approach"
19578,DRG21914,0PBD3ZZ,"Excision of Left Humeral Head, Percutaneous Approach"
19579,DRG21914,0PBD4ZZ,"Excision of Left Humeral Head, Percutaneous Endoscopic Approach"
19580,DRG21914,0PBF0ZZ,"Excision of Right Humeral Shaft, Open Approach"
19581,DRG21914,0PBF3ZZ,"Excision of Right Humeral Shaft, Percutaneous Approach"
19582,DRG21914,0PBF4ZZ,"Excision of Right Humeral Shaft, Percutaneous Endoscopic Approach"
