DRG191	胰、肝及其吻合性手術，有合併症或併發症
DRG192	胰、肝及其吻合性手術，無合併症或併發症
DRG19301	膽道閉鎖手術，有合併症或併發症
DRG19401	膽道閉鎖手術，無合併症或併發症
DRG19302	其他膽道手術(1)，膽囊切除術除外，有合併症或併發症
DRG19402	其他膽道手術(1)，膽囊切除術除外，無合併症或併發症
DRG19303	其他膽道手術(2)，膽囊切除術除外，有合併症或併發症
DRG19403	其他膽道手術(2)，膽囊切除術除外，無合併症或併發症
DRG195	膽囊切除術，有總膽管探查，有合併症或併發症
DRG196	膽囊切除術，有總膽管探查，無合併症或併發症
DRG197	膽囊切除術，無總膽管探查，有合併症或併發症
DRG198	膽囊切除術，無總膽管探查，無合併症或併發症
DRG199	肝、膽原位癌之診斷性手術
DRG20001	其他肝、膽之診斷性手術，有合併症或併發症
DRG20002	其他肝、膽之診斷性手術，無合併症或併發症
DRG20101	其他肝、膽或胰臟手術，有合併症或併發症
DRG20102	其他肝、膽或胰臟手術，無合併症或併發症
DRG20203	肝硬化及酒精性肝炎，有出血，有急性呼吸衰竭，有感染
DRG20204	肝硬化及酒精性肝炎，有出血，有急性呼吸衰竭，無感染
DRG20205	肝硬化及酒精性肝炎，有出血，無呼吸衰竭，有感染
DRG20206	肝硬化及酒精性肝炎，有出血，無呼吸衰竭，無感染
DRG20207	肝硬化及酒精性肝炎，無出血，有急性呼吸衰竭，有感染
DRG20208	肝硬化及酒精性肝炎，無出血，有急性呼吸衰竭，無感染
DRG20209	肝硬化及酒精性肝炎，無出血，無呼吸衰竭，有感染
DRG20210	肝硬化及酒精性肝炎，無出血，無呼吸衰竭，無感染，有特定疾患
DRG20201	肝硬化及酒精性肝炎，其他有合併症或併發症
DRG20202	肝硬化及酒精性肝炎，無合併症或併發症
DRG20301	肝、膽系統原位癌，有合併症或併發症
DRG20302	肝、膽系統原位癌，無合併症或併發症
DRG20401	急性胰臟炎，有經內視鏡處置，有急性呼吸衰竭，有感染，有引流
DRG20404	胰臟疾患，有經內視鏡處置，有急性呼吸衰竭，有感染，無引流
DRG20405	急性胰臟炎，有經內視鏡處置，有急性呼吸衰竭，無感染
DRG20406	急性胰臟炎，有經內視鏡處置，無急性呼吸衰竭，有感染，有引流
DRG20407	急性胰臟炎，有經內視鏡處置，無急性呼吸衰竭，有感染，無引流
DRG20408	急性胰臟炎，有經內視鏡處置，無急性呼吸衰竭，無感染
DRG20409	急性胰臟炎，無經內視鏡處置，有急性呼吸衰竭，有感染，有引流
DRG20410	急性胰臟炎，無經內視鏡處置，有急性呼吸衰竭，有感染，無引流
DRG20411	急性胰臟炎，無經內視鏡處置，有急性呼吸衰竭，無感染
DRG20412	急性胰臟炎，無經內視鏡處置，無急性呼吸衰竭，有感染，有引流
DRG20413	急性胰臟炎，無經內視鏡處置，無急性呼吸衰竭，有感染，無引流
DRG20414	急性胰臟炎，無經內視鏡處置，無急性呼吸衰竭，無感染
DRG20415	其他胰臟疾患，有經內視鏡處置，有引流
DRG20416	其他胰臟疾患，有經內視鏡處置，無引流
DRG20417	其他胰臟疾患，無經內視鏡處置，有引流
DRG20418	其他胰臟疾患，無經內視鏡處置，無引流
DRG20402	胰臟創傷或移植後，有合併症或併發症
DRG20403	胰臟創傷或移植後，無合併症或併發症
DRG20501	肝膿瘍，有引流，有合併症或併發症
DRG20502	肝膿瘍，有引流，無合併症或併發症
DRG20503	肝膿瘍，無引流，有合併症或併發症
DRG20504	肝膿瘍，無引流，無合併症或併發症
DRG20505	急性肝炎或慢性肝炎併急性發作併肝昏迷，有急性呼吸衰竭，有感染
DRG20506	急性肝炎或慢性肝炎併急性發作併肝昏迷，有急性呼吸衰竭，無感染
DRG20507	急性肝炎或慢性肝炎併急性發作併肝昏迷，無急性呼吸衰竭，有感染
DRG20508	急性肝炎或慢性肝炎併急性發作併肝昏迷，無急性呼吸衰竭，無感染
DRG20509	急性肝炎或慢性肝炎併急性發作，無肝昏迷，有特定併發症
DRG20510	急性肝炎或慢性肝炎併急性發作，無肝昏迷，無特定併發症
DRG20511	肝膽系統血栓疾病，有合併症或併發症
DRG20512	肝膽系統血栓疾病，無合併症或併發症
DRG20513	其他肝膽系統疾患，有合併症或併發症
DRG20514	其他肝膽系統疾患，無合併症或併發症
DRG20701	膽道疾患，有PTGBD、PTCD引流，年齡大於等於18歲，有合併症或併發症
DRG20801	膽道疾患，有PTGBD、PTCD引流，年齡大於等於18歲，無合併症或併發症
DRG20702	膽道疾患，有內視鏡處置，年齡大於等於18歲，有合併症或併發症
DRG20802	膽道疾患，有內視鏡處置，年齡大於等於18歲，無合併症或併發症
DRG20703	膽道疾患，無PTGBD、PTCD引流或內視鏡處置，年齡大於等於18歲，有合併症或併發症
DRG20803	膽道疾患，無PTGBD、PTCD引流或內視鏡處置，年齡大於等於18歲，無合併症或併發症
DRG20704	膽道疾患，有特定次診斷(1)，年齡0-17歲
DRG20705	膽道疾患，有特定次診斷(2)，年齡0-17歲
DRG20706	膽道疾患，無特定次診斷(1)(2)，年齡0-17歲，有合併症或併發症
DRG20806	膽道疾患，無特定次診斷(1)(2)，年齡0-17歲，無合併症或併發症
DRG49301	腹腔鏡膽囊切除術，有內視鏡手術，無總膽管探查，有合併症或併發症
DRG49401	腹腔鏡膽囊切除術，有內視鏡手術，無總膽管探查，無合併症或併發症
DRG49302	腹腔鏡膽囊切除術，無內視鏡手術，無總膽管探查，有合併症或併發症
DRG49402	腹腔鏡膽囊切除術，無內視鏡手術，無總膽管探查，無合併症或併發症
