,DRG,CM-PCS,en
13563,DRG27305,L120,Bullous pemphigoid
13564,DRG27305,L121,Cicatricial pemphigoid
13565,DRG27305,L128,Other pemphigoid
13566,DRG27305,L129,"Pemphigoid, unspecified"
13567,DRG27305,L130,Dermatitis herpetiformis
13568,DRG27305,L131,Subcorneal pustular dermatitis
13569,DRG27305,L138,Other specified bullous disorders
13570,DRG27305,L139,"Bullous disorder, unspecified"
13571,DRG27305,L530,Toxic erythema
13572,DRG27305,L531,Erythema annulare centrifugum
13573,DRG27305,L532,Erythema marginatum
13574,DRG27305,L533,Other chronic figurate erythema
13575,DRG27305,L88,Pyoderma gangrenosum
