DRG04901	頭部及頸部重大手術，有合併症或併發症
DRG04902	頭部及頸部重大手術，無合併症或併發症
DRG05001	涎腺切除術，有合併症或併發症
DRG05002	涎腺切除術，無合併症或併發症
DRG052	唇裂及顎裂修補術
DRG05301	鼻竇及乳突手術，年齡大於等於18歲，有合併症或併發症
DRG05302	鼻竇及乳突手術，年齡大於等於18歲，無合併症或併發症
DRG05401	鼻竇及乳突手術，年齡0-17歲，有合併症或併發症
DRG05402	鼻竇及乳突手術，年齡0-17歲，無合併症或併發症
DRG05501	喉氣管支氣管畸形手術，有合併症或併發症
DRG05502	喉氣管支氣管畸形手術，無合併症或併發症
DRG05503	中耳炎手術，有合併症或併發症
DRG05504	中耳炎手術，無合併症或併發症
DRG05507	耳畸形手術，有合併症或併發症
DRG05508	耳畸形手術，無合併症或併發症
DRG05505	其他診斷行耳、鼻及咽喉手術，有合併症或併發症
DRG05506	其他診斷行耳、鼻及咽喉手術，無合併症或併發症
DRG05601	鼻成形術，有合併症或併發症
DRG05602	鼻成形術，無合併症或併發症
DRG52001	顎扁桃腺或咽扁桃腺摘出術，年齡大於等於18歲，有合併症或併發症
DRG52002	顎扁桃腺或咽扁桃腺摘出術，年齡大於等於18歲，無合併症或併發症
DRG52003	顎扁桃腺或咽扁桃腺摘出術，年齡0-17歲
DRG52004	顎扁桃腺或咽扁桃腺摘出術，併中耳通氣管植入術，0-17歲
DRG521	有插管之鼓膜切開術
DRG06303	顏面骨多處骨折手術，有合併症或併發症
DRG06304	顏面骨多處骨折手術，無合併症或併發症
DRG06305	顏面骨骨折單純手術，有合併症或併發症
DRG06306	顏面骨骨折單純手術，無合併症或併發症
DRG06307	其他耳、鼻、口腔及咽喉複雜手術，有合併症或併發症
DRG06308	其他耳、鼻、口腔及咽喉複雜手術，無合併症或併發症
DRG06309	其他耳、鼻、口腔及咽喉單純手術，有合併症或併發症
DRG06310	其他耳、鼻、口腔及咽喉單純手術，無合併症或併發症
DRG065	平衡困難
DRG067	會厭炎及喉氣管炎
DRG068	上呼吸道感染，及其他病症，年齡大於等於18歲
DRG070	上呼吸道感染，及其他病症，年齡0-17歲
DRG072	鼻創傷及變形
DRG07303	耳畸形，有合併症或併發症
DRG07304	耳畸形，無合併症或併發症
DRG07301	其他耳、鼻、口腔及咽喉診斷，年齡大於等於18歲，有合併症或併發症
DRG07302	其他耳、鼻、口腔及咽喉診斷，年齡大於等於18歲，無合併症或併發症
DRG07401	其他耳、鼻、口腔及咽喉診斷，年齡0-17歲，有合併症或併發症
DRG07402	其他耳、鼻、口腔及咽喉診斷，年齡0-17歲，無合併症或併發症
DRG168	口腔手術，有合併症或併發症
DRG169	口腔手術，無合併症或併發症
DRG18501	齒口疾病，拔除及修復除外，年齡大於等於18歲，有合併症或併發症
DRG18502	齒口疾病，拔除及修復除外，年齡大於等於18歲，無合併症或併發症
DRG18601	唇裂及顎裂，0-17歲，有合併症或併發症
DRG18602	唇裂及顎裂，0-17歲，無合併症或併發症
DRG18603	顱顏疾患，0-17歲，有合併症或併發症
DRG18604	顱顏疾患，0-17歲，無合併症或併發症
DRG18605	其它齒口疾病，拔除及修復除外，年齡0-17歲，有合併症或併發症
DRG18606	其它齒口疾病，拔除及修復除外，年齡0-17歲，無合併症或併發症
DRG18701	齒拔除及修復(1)，有使用牙齒矯正器裝置，有合併症或併發症
DRG18702	齒拔除及修復(1)，有使用牙齒矯正器裝置，無合併症或併發症
DRG18705	齒拔除及修復(1)，未使用牙齒矯正器裝置，有合併症或併發症
DRG18706	齒拔除及修復(1)，未使用牙齒矯正器裝置，無合併症或併發症
DRG18703	齒拔除及修復(2)，有使用牙齒矯正器裝置
DRG18704	齒拔除及修復(2)，未使用牙齒矯正器裝置
