DRG,CM-PCS,en
N07,P0506,"Newborn light for gestational age, 1500-1749 grams"
N07,P0507,"Newborn light for gestational age, 1750-1999 grams"
N07,P0516,"Newborn small for gestational age, 1500-1749 grams"
N07,P0517,"Newborn small for gestational age, 1750-1999 grams"
N07,P0716,"Other low birth weight newborn, 1500-1749 grams"
N07,P0717,"Other low birth weight newborn, 1750-1999 grams"
N07,0W9G30Z,"Drainage of Peritoneal Cavity with Drainage Device, Percutaneous Approach"
N07,0W9G3ZX,"Drainage of Peritoneal Cavity, Percutaneous Approach, Diagnostic"
N07,0W9G3ZZ,"Drainage of Peritoneal Cavity, Percutaneous Approach"
N07,0W9G40Z,"Drainage of Peritoneal Cavity with Drainage Device, Percutaneous Endoscopic Approach"
N07,0W9G4ZZ,"Drainage of Peritoneal Cavity, Percutaneous Endoscopic Approach"
N07,30233H1,"Transfusion of Nonautologous Whole Blood into Peripheral Vein, Percutaneous Approach"
N07,30243H1,"Transfusion of Nonautologous Whole Blood into Central Vein, Percutaneous Approach"
N07,30253H1,"Transfusion of Nonautologous Whole Blood into Peripheral Artery, Percutaneous Approach"
N07,30263H1,"Transfusion of Nonautologous Whole Blood into Central Artery, Percutaneous Approach"
N07,30233J1,"Transfusion of Nonautologous Serum Albumin into Peripheral Vein, Percutaneous Approach"
N07,30243J1,"Transfusion of Nonautologous Serum Albumin into Central Vein, Percutaneous Approach"
N07,30253J1,"Transfusion of Nonautologous Serum Albumin into Peripheral Artery, Percutaneous Approach"
N07,30263J1,"Transfusion of Nonautologous Serum Albumin into Central Artery, Percutaneous Approach"
N07,30233K1,"Transfusion of Nonautologous Frozen Plasma into Peripheral Vein, Percutaneous Approach"
N07,30243K1,"Transfusion of Nonautologous Frozen Plasma into Central Vein, Percutaneous Approach"
N07,30253K1,"Transfusion of Nonautologous Frozen Plasma into Peripheral Artery, Percutaneous Approach"
N07,30263K1,"Transfusion of Nonautologous Frozen Plasma into Central Artery, Percutaneous Approach"
N07,30233L1,"Transfusion of Nonautologous Fresh Plasma into Peripheral Vein, Percutaneous Approach"
N07,30243L1,"Transfusion of Nonautologous Fresh Plasma into Central Vein, Percutaneous Approach"
N07,30253L1,"Transfusion of Nonautologous Fresh Plasma into Peripheral Artery, Percutaneous Approach"
N07,30263L1,"Transfusion of Nonautologous Fresh Plasma into Central Artery, Percutaneous Approach"
N07,3E1M39Z,"Irrigation of Peritoneal Cavity using Dialysate, Percutaneous Approach"
N07,5A09357,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Continuous Positive Airway Pressure"
N07,5A09358,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Intermittent Positive Airway Pressure"
N07,5A09359,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Continuous Negative Airway Pressure"
N07,5A0935B,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Intermittent Negative Airway Pressure"
N07,5A0935Z,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours"
N07,5A09457,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Continuous Positive Airway Pressure"
N07,5A09458,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Intermittent Positive Airway Pressure"
N07,5A09459,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Continuous Negative Airway Pressure"
N07,5A0945B,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours, Intermittent Negative Airway Pressure"
N07,5A0945Z,"Assistance with Respiratory Ventilation, 24-96 Consecutive Hours"
N07,5A09557,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Continuous Positive Airway Pressure"
N07,5A09558,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Intermittent Positive Airway Pressure"
N07,5A09559,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Continuous Negative Airway Pressure"
N07,5A0955B,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours, Intermittent Negative Airway Pressure"
N07,5A0955Z,"Assistance with Respiratory Ventilation, Greater than 96 Consecutive Hours"
N07,5A1935Z,"Respiratory Ventilation, Less than 24 Consecutive Hours"
N07,5A1945Z,"Respiratory Ventilation, 24-96 Consecutive Hours"
N07,5A1955Z,"Respiratory Ventilation, Greater than 96 Consecutive Hours"
