DRG,CM-PCS,en
DRG06308,008F0ZZ,"Division of Olfactory Nerve, Open Approach"
DRG06308,008F3ZZ,"Division of Olfactory Nerve, Percutaneous Approach"
DRG06308,008F4ZZ,"Division of Olfactory Nerve, Percutaneous Endoscopic Approach"
DRG06308,008G0ZZ,"Division of Optic Nerve, Open Approach"
DRG06308,008G3ZZ,"Division of Optic Nerve, Percutaneous Approach"
DRG06308,008G4ZZ,"Division of Optic Nerve, Percutaneous Endoscopic Approach"
DRG06308,008H0ZZ,"Division of Oculomotor Nerve, Open Approach"
DRG06308,008H3ZZ,"Division of Oculomotor Nerve, Percutaneous Approach"
DRG06308,008H4ZZ,"Division of Oculomotor Nerve, Percutaneous Endoscopic Approach"
DRG06308,008J0ZZ,"Division of Trochlear Nerve, Open Approach"
DRG06308,008J3ZZ,"Division of Trochlear Nerve, Percutaneous Approach"
DRG06308,008J4ZZ,"Division of Trochlear Nerve, Percutaneous Endoscopic Approach"
DRG06308,008K0ZZ,"Division of Trigeminal Nerve, Open Approach"
DRG06308,008K3ZZ,"Division of Trigeminal Nerve, Percutaneous Approach"
DRG06308,008K4ZZ,"Division of Trigeminal Nerve, Percutaneous Endoscopic Approach"
DRG06308,008L0ZZ,"Division of Abducens Nerve, Open Approach"
DRG06308,008L3ZZ,"Division of Abducens Nerve, Percutaneous Approach"
DRG06308,008L4ZZ,"Division of Abducens Nerve, Percutaneous Endoscopic Approach"
DRG06308,008M0ZZ,"Division of Facial Nerve, Open Approach"
DRG06308,008M3ZZ,"Division of Facial Nerve, Percutaneous Approach"
DRG06308,008M4ZZ,"Division of Facial Nerve, Percutaneous Endoscopic Approach"
DRG06308,008N0ZZ,"Division of Acoustic Nerve, Open Approach"
DRG06308,008N3ZZ,"Division of Acoustic Nerve, Percutaneous Approach"
DRG06308,008N4ZZ,"Division of Acoustic Nerve, Percutaneous Endoscopic Approach"
DRG06308,008R0ZZ,"Division of Accessory Nerve, Open Approach"
DRG06308,008R3ZZ,"Division of Accessory Nerve, Percutaneous Approach"
DRG06308,008R4ZZ,"Division of Accessory Nerve, Percutaneous Endoscopic Approach"
DRG06308,008S0ZZ,"Division of Hypoglossal Nerve, Open Approach"
DRG06308,008S3ZZ,"Division of Hypoglossal Nerve, Percutaneous Approach"
DRG06308,008S4ZZ,"Division of Hypoglossal Nerve, Percutaneous Endoscopic Approach"
DRG06308,009F00Z,"Drainage of Olfactory Nerve with Drainage Device, Open Approach"
DRG06308,009F0ZX,"Drainage of Olfactory Nerve, Open Approach, Diagnostic"
DRG06308,009F0ZZ,"Drainage of Olfactory Nerve, Open Approach"
DRG06308,009F30Z,"Drainage of Olfactory Nerve with Drainage Device, Percutaneous Approach"
DRG06308,009F3ZZ,"Drainage of Olfactory Nerve, Percutaneous Approach"
DRG06308,009F40Z,"Drainage of Olfactory Nerve with Drainage Device, Percutaneous Endoscopic Approach"
DRG06308,009F4ZZ,"Drainage of Olfactory Nerve, Percutaneous Endoscopic Approach"
DRG06308,009G00Z,"Drainage of Optic Nerve with Drainage Device, Open Approach"
DRG06308,009G0ZX,"Drainage of Optic Nerve, Open Approach, Diagnostic"
